shape,scale
5.880438612395333,753.9922796621986
4.97543908349119,757.7763009015239
6.155914323170017,842.3346049510285
5.594806803777298,773.6027721648084
3.8494371618998526,910.344946980051
7.158650065570802,731.9051089044983
5.813858717548527,765.7413754971257
5.943685734630784,735.4363949742877
4.04427494326157,742.0743401042197
4.955722308714723,824.334380663741
4.775131372679376,849.5696966932517
6.573325767983012,826.7137300191653
5.444418499677055,776.9731514734079
6.00310000091263,816.5943381063425
4.986695957526292,778.9595335466139
4.392118843856232,734.3442428997516
5.222868984281894,852.6542365474845
3.7232324446653724,783.1124667123548
6.0585647770213535,750.898456915307
5.428395879554707,828.9805426580649
5.802507295428652,748.3827613733603
4.753002526373558,733.2304644272283
7.0659207050695585,755.5011653490442
6.396805778420314,766.887352951861
5.855003632925526,781.4707661398103
4.292924998222793,722.600364414387
5.036466906406101,795.01641118364
3.540800537377907,767.3117431101462
4.1798633125441915,753.8482631140118
5.5753998305350105,791.7993233719421
5.772706607943243,758.321838495665
7.037755714148069,756.2916303750601
4.674673314429551,796.2324097665974
4.744247547206951,843.0239153694221
5.0401741764023456,814.2373035205694
4.283512046555213,813.4531912854404
4.08023075190261,765.0365006730827
5.071471815776001,725.707098094883
4.4132055945393125,731.0922039155361
5.519410984114656,849.2441219100982
4.940449092674786,748.3796528561633
6.070325100600274,785.2326640938857
5.624310028525624,793.8441206485483
4.621040513003766,848.5653161632799
6.06191655603273,783.0011004290433
5.968406148255958,768.6622296697504
4.8209201309880685,811.5713811164065
4.559211332174633,797.4178376424342
5.59106207030068,788.3651323338446
4.120876487932261,732.5478737426987
4.2864961681533105,773.7469747710696
2.930818064396093,820.0336746643759
5.929160814244642,742.1726126721494
5.513198246107814,791.1865442542339
5.635149293930264,859.8326455972194
5.852915347210366,797.0982473055913
4.990644568545341,754.4688226692125
5.260707655784609,793.8963361053268
4.12241528162349,732.6656940777711
3.9835039061998776,881.3595637335001
5.536867029113118,823.5838950013928
5.014275106127494,824.254368342112
5.282051119758612,772.8758118920678
5.797504043108925,788.0024075057959
5.470968459677633,719.9554983716162
5.2374019303022346,832.030299330003
5.261124881783455,741.1501662995996
4.636185961289604,780.9360713341142
3.392999251091915,816.4309627159183
4.945006724097156,742.8419009139006
4.363053383722699,767.5160805171388
4.884786274973932,818.0682137787078
6.161370815012299,767.8769763950714
4.427143734643163,788.9188916715923
3.6416682043155917,809.5059056754347
4.57515429125633,754.7351066998561
4.565679745798364,845.9209828791737
5.501257134441928,777.8296278409664
5.277290816554654,721.7348164567403
5.880088246907358,875.5773035077287
5.518363579353942,790.1007588863921
4.850526011941843,801.91507988798
6.001622808655528,741.7492333536302
4.2340329170080295,743.4099610265716
3.3143624391085003,799.9544391432831
3.8748362554559486,798.6684678256028
5.728490981359308,685.3353211224182
5.031631842471974,767.329157446157
4.143843759786379,819.311857818617
5.115424634399349,758.8010618662969
4.169202249773985,726.8997233971031
5.598160296477146,769.088155083734
4.947234017554192,795.4368154572454
4.820803145439746,772.9130090579417
4.631593256495167,764.3473538970251
5.425146541655356,812.2118562827427
4.740512804696285,778.4332097565301
3.8829363274919757,764.6927785948677
3.9919350201460424,761.1595657393991
6.911184031836809,798.052781000849
6.496229511653504,755.0069024608032
5.631710200836853,790.8910265373839
4.534501340722538,770.7990187980336
7.0405336529049265,814.8735679363512
5.876971581658453,783.9680262035996
5.657515226073518,789.6465537309267
4.9561246955627904,816.5090361722285
4.535038747389164,814.1328043421207
3.9276696289525446,753.8279658297874
6.415049771278509,775.9111187761631
5.008706905408076,733.3903027503367
4.301391677903311,792.0642113179025
4.604328147870603,792.0199189594261
5.3347069078537075,743.9394689765317
4.186457630984414,838.2470838351023
6.1676408352316345,795.1035710634665
5.841348727564216,749.8708474228961
5.670484238953911,806.2215021496335
4.912082703022307,858.5426381842018
5.407656774105507,791.4054627448556
5.295171488937783,769.413836946914
5.453491782815454,819.0990283915497
3.788465246730496,875.2588966775729
4.895814041694242,741.7623959876391
3.490628972066647,865.5964367884241
5.055378363421321,872.2042749188023
4.638744556783696,824.8410093441709
4.13317305957755,786.6350481498259
3.8906441755114054,860.4242989080237
5.310710998611034,785.2284181546403
4.230127013050994,776.9846841808104
6.553093867848783,783.9673422631907
5.315759007625835,754.2664128715745
4.730893648117658,806.8032287511762
5.319445357991665,808.2886750159927
3.291977065096621,800.6762547460745
6.936457765397618,700.5207706717075
5.074439249390328,766.9982302259972
5.862421402339042,822.8710310235349
3.7862459880191643,825.6195403399829
5.040596215572669,788.7550509384808
5.081678034327999,815.095119171667
6.664399867415029,789.6522925103119
5.248129140633463,814.52544714622
5.016007599304672,869.5534016419801
4.533710215865582,778.099922987117
4.6386171288704725,850.1543998049168
5.143524801039017,753.204084740305
4.960655524250507,754.9196221758073
3.315375171193722,748.5132806524391
6.0691507768224655,738.1229376550556
6.39183660494801,807.2349958619533
4.087642439976758,742.295905734938
5.208047279881595,841.7454619969359
3.9523290396677746,781.0872189537688
5.5598053882405205,730.138773817789
4.562195271966,752.1336537115064
5.53218980126606,763.0982378545136
5.709441337507679,749.7327660793491
5.831381065659909,835.7813913370902
3.9420334407677924,767.9504466311162
6.5256645656097465,754.9375998556385
4.405783317872641,762.0534077490564
3.509508080517365,729.9199307590242
5.19636933418956,858.796780083355
4.786606173204066,850.5436198345999
6.090764528482502,763.925448464923
5.986251070567369,794.504012674174
4.683054413235581,744.4128882342999
6.806366224632236,780.0562223734099
4.563001094121592,817.1261580211162
5.156678852198821,694.359459999358
4.481778188005235,826.1101365649262
6.657760687562788,759.0473253112038
4.146730922368944,910.1779819651558
3.5671715807213573,796.7220898945613
4.9441658120144565,732.6823796381775
7.69006870235762,739.1050638123253
6.360207401422821,752.6678947008087
5.77693142539031,784.1537321311707
6.390604913887471,743.1339639276579
6.377367405690201,772.1098762303675
5.151391142376187,745.3715334456355
4.640661584197951,733.3675350765429
5.846463013653019,737.0349449076965
5.4969252202017085,775.3664785504735
4.818081302134156,721.9395071038232
3.901920495177922,695.9147646832646
5.755935023989744,771.907100089506
4.498457615969708,747.1886907884776
6.695908619693624,770.8740993031462
4.3929053555724655,862.3632798718468
4.00024193018958,814.0529008294681
6.068918455377849,774.6217868999967
4.135700981209762,744.3068200948043
4.2824599591696355,708.6605223089115
5.346688371394981,746.943830321712
6.280526160838502,767.0415123047508
4.318033441063442,747.3491090759534
4.628596173623353,823.2868006600316
5.876954157314682,773.7663112792444
7.088913940563618,788.3640737833246
5.111620533104951,757.5231392788808
4.1099851504799805,781.4987427077774
3.1659126684504733,777.7440227717326
4.415498830203771,760.1606245840323
4.060881334184258,784.8305687882646
5.553043135982641,762.5203788363624
3.997894887477707,800.7362261847246
5.1084671980431855,786.8506894186913
5.593431376151934,757.5314382193984
5.312430324099509,753.839642818287
4.286571280189142,772.9434383652746
5.973116353563887,766.5843194086308
5.678594410501123,781.1668600660923
5.771967267920359,707.7442141107459
4.070026129306778,778.856759465374
3.9849252848520704,826.2965206015142
6.600976983582127,721.0817319050323
4.874294595018873,754.6025122389443
4.628286439595818,760.923352154938
5.076266410597458,802.3349342031256
5.525779509676058,780.0593359860034
6.884793098683998,748.3489698881369
4.574853765115386,787.5745603696479
6.5841395727822905,778.3777441321689
3.368744144607454,739.0327655848829
5.194674357156542,880.7867824159546
5.445390530225861,704.4117160825778
3.9528200976497203,743.9392810234966
4.111939533394412,740.0453916302605
4.927769801704609,763.3083161463165
7.016819488381459,714.5105722889186
5.355533521438876,717.4252765279898
6.6372587089506805,821.8474714746932
5.9572531081132665,765.6734756303064
5.031198059136405,798.3554323372297
5.9033735452120615,718.5786999195948
3.1989685187373103,874.964024942927
3.954827920071678,786.510501151477
6.060276906899882,763.24157457477
5.894641050949096,821.6015226156534
4.398769309438253,779.2002025099295
5.157671033109492,807.9316104512825
5.357468587664657,781.0857864158961
6.235455050074232,803.1750445406617
5.344088832288265,764.4250151292397
4.9089923969676,684.0319637495151
4.790829922390927,727.8275877374538
4.936213445534121,795.2484005114081
5.481920072212619,867.7851651641959
6.245334753730554,802.7793258255427
5.035686458879197,707.4844517479272
4.453055918196789,767.342719015382
4.421687608659828,806.0527887197557
5.759123320978815,767.2008284604332
6.039608602408524,760.0528623080035
3.955314214571223,731.994739344119
3.7023059066283532,830.7499247519695
5.337390389157454,857.0845056110213
4.127474386312556,802.3744873922775
6.093789625797202,712.9076322352257
4.591280808320324,821.9164543363619
4.097655220001952,781.4556024598782
6.562857173259651,723.695773872756
4.207253872409787,721.443854917374
4.56146382140445,773.0942194112653
4.150325247641545,748.0665665012625
4.024645749906785,712.7932002487746
3.2926253338937213,695.4874229216849
3.6681666991607593,754.0221168889709
4.228732076160407,814.204050173626
3.613251167796964,860.3078929340911
5.3092542173815485,809.654099295027
5.5521553388038525,781.241930683076
4.84594704494491,721.9883844601449
4.6755866703089985,749.727775595858
5.11402673354691,776.4338377092351
6.248558771415446,770.1852900565145
6.195167814419228,751.2662082773558
3.5663971448738185,757.9738947080959
4.278602138262663,747.344874216049
4.408954204588794,808.1186045579173
4.48519792064362,776.0530358351389
5.251232413111766,807.9399802130093
4.898750558941649,743.7208005484657
3.6276550117975055,760.302146403339
4.833754626331946,724.0130440870892
5.165779873643168,772.2429297604522
3.8907430329323605,822.307528092951
6.060563641115743,796.4498940394485
3.6208116752781137,816.9748201125961
6.590250849648307,777.021156478296
3.9018921983791364,788.1829244888104
6.098554456372708,779.0959364201368
6.430438526712201,779.6524672395127
7.238165680474286,785.8278934005166
5.966030888234357,751.5402863058707
5.873522493046124,790.9545870970926
5.4918277134434215,770.2824337109051
5.856532592932647,784.7520650451138
4.063968728331622,811.1754975226692
5.221656302189078,714.0661552815071
5.118045587739923,860.1648843397454
6.18940349537406,811.1970648713205
5.020352137282518,774.6542347400575
4.814466835296044,794.6015882332255
5.448392714907597,755.5108862870476
4.522774331622785,775.612568048441
4.092065696557523,731.3016244659133
5.041536175545941,742.810972907421
4.91399654085746,746.5313379835715
4.415700767444609,777.3283087023484
