component,Early (2024-04-28),Now (2026-02-18)
Effective zone,GREEN,YELLOW
RUL (schedule),663 d (GREEN),107 d (YELLOW)
Condition (M5),0.11 (GREEN),0.08 (GREEN)
VSI mean,28.2 V,28.2 V
Resting V,nan V,24.8 V
Sag rate,0.00,0.00
Crank-recovery,-0.0σ,-0.1σ
Reg. ceiling,-1.1σ,-1.8σ
GED2,—,—
