shape,scale0,beta1
5.880438612395333,753.9922796621986,0.0
4.97543908349119,757.7763009015239,0.0
6.155914323170017,842.3346049510285,0.0
5.594806803777298,773.6027721648084,0.0
3.8494371618998526,910.344946980051,0.0
7.158650065570802,731.9051089044983,0.0
5.813858717548527,765.7413754971257,0.0
5.943685734630784,735.4363949742877,0.0
4.04427494326157,742.0743401042197,0.0
4.955722308714723,824.334380663741,0.0
4.775131372679376,849.5696966932517,0.0
6.573325767983012,826.7137300191653,0.0
5.444418499677055,776.9731514734079,0.0
6.00310000091263,816.5943381063425,0.0
4.986695957526292,778.9595335466139,0.0
4.392118843856232,734.3442428997516,0.0
5.222868984281894,852.6542365474845,0.0
3.7232324446653724,783.1124667123548,0.0
6.0585647770213535,750.898456915307,0.0
5.428395879554707,828.9805426580649,0.0
5.802507295428652,748.3827613733603,0.0
4.753002526373558,733.2304644272283,0.0
7.0659207050695585,755.5011653490442,0.0
6.396805778420314,766.887352951861,0.0
5.855003632925526,781.4707661398103,0.0
4.292924998222793,722.600364414387,0.0
5.036466906406101,795.01641118364,0.0
3.540800537377907,767.3117431101462,0.0
4.1798633125441915,753.8482631140118,0.0
5.5753998305350105,791.7993233719421,0.0
5.772706607943243,758.321838495665,0.0
7.037755714148069,756.2916303750601,0.0
4.674673314429551,796.2324097665974,0.0
4.744247547206951,843.0239153694221,0.0
5.0401741764023456,814.2373035205694,0.0
4.283512046555213,813.4531912854404,0.0
4.08023075190261,765.0365006730827,0.0
5.071471815776001,725.707098094883,0.0
4.4132055945393125,731.0922039155361,0.0
5.519410984114656,849.2441219100982,0.0
4.940449092674786,748.3796528561633,0.0
6.070325100600274,785.2326640938857,0.0
5.624310028525624,793.8441206485483,0.0
4.621040513003766,848.5653161632799,0.0
6.06191655603273,783.0011004290433,0.0
5.968406148255958,768.6622296697504,0.0
4.8209201309880685,811.5713811164065,0.0
4.559211332174633,797.4178376424342,0.0
5.59106207030068,788.3651323338446,0.0
4.120876487932261,732.5478737426987,0.0
4.2864961681533105,773.7469747710696,0.0
2.930818064396093,820.0336746643759,0.0
5.929160814244642,742.1726126721494,0.0
5.513198246107814,791.1865442542339,0.0
5.635149293930264,859.8326455972194,0.0
5.852915347210366,797.0982473055913,0.0
4.990644568545341,754.4688226692125,0.0
5.260707655784609,793.8963361053268,0.0
4.12241528162349,732.6656940777711,0.0
3.9835039061998776,881.3595637335001,0.0
5.536867029113118,823.5838950013928,0.0
5.014275106127494,824.254368342112,0.0
5.282051119758612,772.8758118920678,0.0
5.797504043108925,788.0024075057959,0.0
5.470968459677633,719.9554983716162,0.0
5.2374019303022346,832.030299330003,0.0
5.261124881783455,741.1501662995996,0.0
4.636185961289604,780.9360713341142,0.0
3.392999251091915,816.4309627159183,0.0
4.945006724097156,742.8419009139006,0.0
4.363053383722699,767.5160805171388,0.0
4.884786274973932,818.0682137787078,0.0
6.161370815012299,767.8769763950714,0.0
4.427143734643163,788.9188916715923,0.0
3.6416682043155917,809.5059056754347,0.0
4.57515429125633,754.7351066998561,0.0
4.565679745798364,845.9209828791737,0.0
5.501257134441928,777.8296278409664,0.0
5.277290816554654,721.7348164567403,0.0
5.880088246907358,875.5773035077287,0.0
5.518363579353942,790.1007588863921,0.0
4.850526011941843,801.91507988798,0.0
6.001622808655528,741.7492333536302,0.0
4.2340329170080295,743.4099610265716,0.0
3.3143624391085003,799.9544391432831,0.0
3.8748362554559486,798.6684678256028,0.0
5.728490981359308,685.3353211224182,0.0
5.031631842471974,767.329157446157,0.0
4.143843759786379,819.311857818617,0.0
5.115424634399349,758.8010618662969,0.0
4.169202249773985,726.8997233971031,0.0
5.598160296477146,769.088155083734,0.0
4.947234017554192,795.4368154572454,0.0
4.820803145439746,772.9130090579417,0.0
4.631593256495167,764.3473538970251,0.0
5.425146541655356,812.2118562827427,0.0
4.740512804696285,778.4332097565301,0.0
3.8829363274919757,764.6927785948677,0.0
3.9919350201460424,761.1595657393991,0.0
6.911184031836809,798.052781000849,0.0
6.496229511653504,755.0069024608032,0.0
5.631710200836853,790.8910265373839,0.0
4.534501340722538,770.7990187980336,0.0
7.0405336529049265,814.8735679363512,0.0
5.876971581658453,783.9680262035996,0.0
5.657515226073518,789.6465537309267,0.0
4.9561246955627904,816.5090361722285,0.0
4.535038747389164,814.1328043421207,0.0
3.9276696289525446,753.8279658297874,0.0
6.415049771278509,775.9111187761631,0.0
