shape,scale0,beta1,beta2
5.968128435854381,793.6509550653572,-0.007643726315711512,0.4791419755518779
5.0429611564264425,704.180536801708,-0.1539491814477594,0.3620836487507811
6.34476428832633,684.2402217248291,-0.02576503085241828,0.16073728849157043
5.658542470182205,776.0248038722425,-0.020790295486827377,0.35093434918555266
3.832252060656056,757.6356676389087,-0.16941744364587077,0.0478356351002285
7.349339185282266,736.547198924329,-0.10323148293429629,0.5155080902184719
5.94082256127863,712.4582665876301,-0.0665378172657626,0.2821237119205807
6.073894631861563,727.3264084023805,-0.09075849196793509,0.4079078597120048
3.9900059975550604,758.5949048801656,-0.1569661233842149,0.5119073949931395
5.009989407010333,749.9373256477684,-0.03268962677193578,0.4682928959611001
4.876060026581477,661.045123041656,-0.1875694725358423,0.27888681815535565
6.790687628811927,713.5801031412931,-0.0514596602700676,0.2047277753953782
5.491086398619612,796.7870348168755,-0.032751030421983095,0.43397944994077564
6.173251262030363,691.6157418753121,-0.11995905775092222,0.26295886651821415
5.061785676871697,719.4365308888755,-0.09594504977023861,0.5358335745236177
4.403627310314204,649.8697843449628,-0.14474335165950936,0.4108986108712986
5.288663259429388,807.379773722264,-0.01269894430851016,0.2989659344186998
3.70523744948243,711.255301476963,-0.12251893367548608,0.26439403998849326
6.181969669136548,727.973049799547,-0.048240051876827665,0.5049903856982485
5.548325882616696,732.4968738567641,-0.09931614752200747,0.28536316077630003
5.92183993101094,693.5140295235184,-0.0923194120324754,0.26889671656876496
4.7550210314986385,748.8475833699028,-0.11435356295364829,0.337997344630089
7.278304372343212,720.5439655836957,-0.06601783191217991,0.29605726507627506
6.579532352148255,729.5006994741204,-0.026104205532215752,0.15797560322269283
6.009627923967895,653.047751780019,-0.11931557523577127,-0.1197861307847903
4.237748526439798,776.4493488946472,0.024970429301065585,0.36815048801432493
5.145016087183311,670.6576960129778,-0.039001161292378995,0.34392451655011275
3.484195856623559,720.1263603270511,-0.19353388808448682,0.5743061971212863
4.132712598288185,838.788271930154,-0.05801082522570115,0.0006396707561723891
5.710122405684596,700.5719777396342,-0.031609844855740636,0.324552249112031
5.872005167905086,755.5129904255239,-0.07949691938548958,0.3658510876306228
7.23120493374341,767.2439869297223,-0.03890580000030988,0.29374875956063967
4.708067139256139,753.363441542461,-0.03950557104111647,0.31532814027431527
4.824413965497338,655.1408332648317,-0.20034226835792737,0.4381953724367782
5.1512156395299735,692.7161630301958,-0.07110825673197198,0.3154103172172449
4.306041153483087,741.8250845865768,-0.07504854779777015,0.4580083848100577
4.050133778391758,771.7837280163316,-0.07422223093859955,-0.11784385368878021
5.119520095289277,726.1824581586698,-0.15023013003071636,0.28509322018649647
4.438890027843052,644.4315006654763,-0.20664328436560703,0.48882734492297775
5.6164939986455185,776.4670610093239,0.01380661793451112,0.24416185392253295
4.984448482708254,693.5088312468612,-0.13821098180956937,0.3535703352159723
6.201636092600458,760.1789928964978,0.006402485373519411,0.1802173614384766
5.7078797956016745,804.8317647820259,-0.07126307286888137,0.4992455921333484
4.702412286451676,674.4915791301908,-0.11315752761295116,0.35863960242444287
6.187574744962295,761.4892351712572,-0.0702920785084298,0.09835379607307611
6.1152338109490385,707.258686590591,-0.026051181914202408,0.3607128917210551
4.8685975299716455,758.8462591778562,-0.11861085521056788,0.333778221469907
4.599017269771023,709.9676444608773,-0.12664036378412885,0.3770084391868226
5.736313882267523,699.8711036507148,-0.1693643913778461,0.5023011182505221
4.118104378979159,692.2439233176221,-0.13188848279384452,0.6118317854370596
4.226997793802597,851.8962015079233,-0.046268491261109546,0.48057256170571144
2.884309200124559,677.1991702370656,-0.18341371706984666,0.4851314699782829
6.049605059114989,733.5491590063674,-0.09329830208838262,0.5010516053914428
5.6061046300458415,749.9674143411137,-0.03655814164474459,0.2305434698845191
5.810039575564057,663.0814829735015,-0.18845941997678783,0.3952691877015828
6.006135748696324,684.223119443804,-0.06199065115553878,0.19908959243354743
4.984355202861537,804.5318967325486,0.021752414625185446,0.4095864936508759
5.351939693286867,719.2047973526052,-0.04281769478876714,0.292521143982955
4.120677655824155,692.4409506006425,-0.11489579407123493,0.22260783562763253
3.9724140952418128,810.0046485963572,-0.10969789848563308,0.5504907607294122
5.645685199945468,773.8923958426652,-0.09834744964072424,0.398301973451325
5.107905429574549,699.3833554628595,-0.08090866327529231,0.442301618007754
5.387631704470284,699.1788787102645,-0.0851623440001978,0.21159037681539974
5.913473147719968,734.5586478458265,-0.10989759966449997,0.29863997424449223
