day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,vsi_rpm_slope,vsi_ceiling,vsi_onset_rpm,vsi_resid_mean,vsi_resid_negfrac,crank_recovery_t,crank_recovery_slope,reg_duty_frac,cranks_per_ehr,crank_dur_mean,ged1_frac,ged3_frac,ged_churn,idle_vsi_var,idle_vsi_acf1,idle_vsi_zcr,sag_highload_frac,sag_idle_frac,uv_dose_day,dtf,vin_label
4,14,28.185715,0.05345245,28.0,28.130000495910643,28.200000762939453,0.0018964376,0.07000026702881001,-0.0,0.0,28.183334,,,,0,0.0,0,707.90216,,,580.1500244140625,0.17142923,0.0,,,1.0,0.0,,0.0,0.0,0,0.0033333586,-0.09999999999999991,0.18181818181818182,,0.0,0.0,468.0,VIN10_F_ALT
10,114,28.042107,0.10799479,27.8,27.799999237060547,28.200000762939453,0.0038511653,0.40000152587890625,0.23081198935229233,0.0,28.015095,,,,0,0.0,0,1127.5615,6.620478472956504e-05,28.073334,588.1500244140625,0.0017543926,0.17543859649122806,,,1.0,0.0,,0.0,0.0,0,0.010536924,0.20895827688246313,0.17307692307692307,0.0,0.0,0.0,462.0,VIN10_F_ALT
11,375,28.187466,0.41024345,20.6,28.200000762939453,28.389999389648438,0.014554109,0.18999862670898438,0.2975780839712644,0.0026666666666666666,28.204958,28.2,24.2,20.6,0,0.0,1,1003.0057,7.260811200189709e-05,28.208086,548.3200073242188,0.20080064,0.005333333333333333,0.0,,0.9946666666666667,1.92,5.0,0.0,0.0,0,0.0016216682,0.183369251345485,0.05357142857142857,0.0,0.003787878787878788,7.095799204069003,461.0,VIN10_F_ALT
12,4068,28.204378,0.08491287,25.0,28.200000762939453,28.200000762939453,0.003010627,0.0,0.1884729262319238,0.0,28.201897,28.201458,24.914793,,0,0.0,0,1122.5464,-5.158265922365379e-06,28.211195,340.4700012207031,0.20418417,0.0007378258730939498,,,0.9995083579154376,0.0,,0.0,0.0,0,0.06299929,0.037525757579986184,0.13858695652173914,0.0,0.0,0.0,460.0,VIN10_F_ALT
13,78,28.181923,0.06552616,28.0,28.0,28.200000762939453,0.0023251132,0.20000076293945312,0.06859321793659609,0.0,28.181923,,24.543827,,0,0.0,0,611.7197,9.669816747507798e-05,,573.5900268554688,0.18192375,0.0,,,1.0,0.0,,0.0,0.0,0,0.0042936923,-0.19191127326465637,0.18181818181818182,,0.0,0.0,459.0,VIN10_F_ALT
14,340,28.22453,0.067312606,28.0,28.200000762939453,28.389999389648438,0.0023848973,0.18999862670898438,0.39632810044529304,0.0,28.223906,,,,0,0.0,0,626.4008,8.908087513895556e-05,28.2,556.7899780273438,0.2233535,0.0,,,1.0,0.0,,0.0,0.0,0,0.004452142,0.11515791889421877,0.20481927710843373,,0.0,0.0,458.0,VIN10_F_ALT
15,1260,28.108562,0.37421227,21.8,28.0,28.200000762939453,0.013313105,0.20000076293945312,0.18641880752497358,0.003968253968253968,28.129982,,24.537043,14.4,0,0.0,4,684.8001,-3.194273130192116e-05,28.180323,384.0,0.12411952,0.01507936507936508,0.00375000003259629,0.1127706785762853,0.9928571428571429,2.2857142857142856,6.0,0.0,0.0,0,0.020586047,0.3641559922223975,0.2704626334519573,0.0,0.0046641791044776115,1.4005744211341442,457.0,VIN10_F_ALT
17,37,28.145947,0.09004538,28.0,28.0,28.200000762939453,0.0031992306,0.20000076293945312,-0.0,0.0,28.145947,,,,0,0.0,0,599.8595,,,594.0800170898438,0.1459465,0.0,,,1.0,0.0,,0.0,0.0,0,0.008108221,0.16923076923076918,0.3333333333333333,,0.0,0.0,455.0,VIN10_F_ALT
19,273,28.150879,0.26910394,25.0,28.0,28.200000762939453,0.0095593445,0.20000076293945312,0.09165620736805635,0.0,28.156992,,23.675999,17.8,0,0.0,1,678.207,-4.905646912682558e-05,28.180002,497.1099853515625,0.15161237,0.01098901098901099,0.004999999888241291,-0.06975166912863942,0.989010989010989,2.6373626373626373,5.0,0.0,0.0,0,0.05883346,0.018974343962101806,0.17254901960784313,0.0,0.0,0.0,453.0,VIN10_F_ALT
20,368,28.23712,0.07820041,28.0,28.200000762939453,28.389999389648438,0.0027694188,0.18999862670898438,0.501905578129037,0.0,28.23527,,,,0,0.0,0,630.78796,5.817852882828418e-05,28.295,563.8300170898438,0.23494613,0.0,,,1.0,0.0,,0.0,0.0,0,0.00591312,0.09804097862807686,0.2768361581920904,0.0,0.0,0.0,452.0,VIN10_F_ALT
