feature,nf_p05,nf_p50,nf_p95,nf_mean,nf_std
vsi_mean,27.801974296569824,28.032382011413574,28.24323606491089,28.033031463623047,0.21580147743225098
vsi_std,0.08040517754852772,0.12432361021637917,0.4848954901099205,0.18132929503917694,0.16779854893684387
vsi_cv,0.0028735187370330095,0.004437362076714635,0.01721817720681429,0.006481803487986326,0.006537216249853373
vsi_min,20.200000762939453,25.389999389648438,27.799999237060547,24.57427978515625,2.7266252040863037
vsi_p05,27.399999618530273,27.799999237060547,28.0,27.816859128208726,0.33958352872327746
vsi_range,0.20000076293945312,0.3899993896484375,1.3999996185302734,0.42496227796860814,0.4977890280224869
vsi_entropy,0.060967480411475664,0.41396012472323096,1.8878137818761958,0.5438633957048383,0.5069710895361341
vsi_sag_frac,0.0,0.0,0.0016494921282607985,0.0005664033422426737,0.01344969542148136
idle_vsi_mean,27.7998197555542,28.043561935424805,28.261922454833986,28.041688919067383,0.2425430566072464
cruise_vsi_mean,27.796162414550782,28.022769927978516,28.24908447265625,28.028669357299805,0.23221401870250702
resting_vsi_mean,23.58895778656006,25.04277801513672,26.389999389648438,24.98433494567871,1.0811707973480225
crank_vsi_min,16.389999389648438,21.200000762939453,24.799999237060547,20.90608024597168,2.505201816558838
ged2_cnt,0.0,0.0,0.0,0.05392874572962421,2.4270230610590513
ged2_frac,0.0,0.0,0.0,2.580867495124487e-05,0.0016730853279940594
sma_starts,0.0,0.0,3.0,0.5915080527086384,1.2142317029665888
rpm_mean,725.2306365966797,941.7811889648438,1100.9621276855469,934.3292846679688,109.93142700195312
vsi_rpm_slope,-9.76264392296814e-05,1.7343304839076775e-05,0.00015991243523434296,2.1852014887072867e-05,0.00017590083414509533
vsi_ceiling,27.807541847229004,28.060503005981445,28.264430236816406,28.056615829467773,0.22838899493217468
vsi_onset_rpm,172.8000030517578,423.3599853515625,542.0800170898438,405.59771622756114,107.02014304844441
vsi_resid_mean,-0.19842390343546867,0.03279309161007404,0.2422834262251854,0.03194596618413925,0.2150273621082306
vsi_resid_negfrac,0.0037005594107321557,0.11510653279244537,0.8673947695027223,0.21701224403647315,0.2574627423154007
crank_recovery_t,0.0,0.0,0.053312500022002496,0.09278480622025376,1.2326120364488746
crank_recovery_slope,-0.031675218732090595,8.293644494612314e-05,0.040038064177993764,0.0013144980399125252,0.05674872845032025
reg_duty_frac,0.9627771615952163,0.9996430165076431,1.0,0.9912816726845167,0.04175250824608144
cranks_per_ehr,0.0,0.0,0.4070671622129741,0.09569338292482038,0.3120892882786249
crank_dur_mean,5.0,5.0,5.0,5.149138998991277,1.156924372746295
ged1_frac,0.0,0.0,0.0,0.0,0.0
ged3_frac,0.0,0.0,0.0,0.00013985377094079382,0.0018563251045238683
ged_churn,0.0,0.0,0.0,0.21217667154709616,5.1462091436428645
idle_vsi_var,0.0071356110507622365,0.01844682637602091,0.2914408341050148,0.06694873422384262,0.378761351108551
idle_vsi_acf1,0.014652099578866927,0.4284350631402928,0.7489374158480833,0.40531359240767895,0.23156739606734417
idle_vsi_zcr,0.0821711123103951,0.18057261807261807,0.622436011002844,0.23244649944259335,0.15976336394668264
sag_highload_frac,0.0,0.0,0.0,0.00027054035779217576,0.01451638680029215
sag_idle_frac,0.0,0.0,0.0024906600249066002,0.0007553265527927049,0.013262009357304115
uv_dose_day,0.0,0.0,11.674735996220651,2.487142230436496,11.069359421622012
