day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,vsi_rpm_slope,vsi_ceiling,vsi_onset_rpm,vsi_resid_mean,vsi_resid_negfrac,crank_recovery_t,crank_recovery_slope,reg_duty_frac,cranks_per_ehr,crank_dur_mean,ged1_frac,ged3_frac,ged_churn,idle_vsi_var,idle_vsi_acf1,idle_vsi_zcr,sag_highload_frac,sag_idle_frac,uv_dose_day,dtf,vin_label
4.0,1442,28.149515,0.3152351,21.39,28.0,28.389999389648438,0.011198598,0.3899993896484375,0.4876842341899412,0.0013869625520110957,28.138466,28.2,24.530071,19.6,0,0.0,3,756.631,7.545585084936991e-05,28.224443,543.510009765625,0.15145686,0.04022191400832178,0.0,0.10001903702763427,0.9916782246879334,1.4979195561719834,5.0,0.0,0.0,0,0.09746174,0.5191245323703706,0.09330406147091108,0.0,0.001639344262295082,2.6021706084524467,,VIN13_NF_ALT
5.0,779,28.097178,0.14529847,26.39,28.0,28.200000762939453,0.005171283,0.20000076293945312,0.2415383153789567,0.0,28.085331,,24.715384,19.8,0,0.0,1,713.20483,0.00012443344086557668,28.194286,492.6300048828125,0.0969195,0.038510911424903725,0.0,0.011460647545490258,0.9974326059050064,0.9242618741976895,5.0,0.0,0.0,0,0.022945728,0.4704382600981751,0.16429699842022116,0.0,0.0,0.0,,VIN13_NF_ALT
9.0,290,28.24207,0.33594745,22.8,28.200000762939453,28.389999389648438,0.011895285,0.18999862670898438,0.6872322760465901,0.0034482758620689655,28.244286,28.270847,25.395926,22.8,0,0.0,1,779.743,0.00016916719023037625,28.290869,442.07000732421875,0.26137957,0.0034482758620689655,0.0,,0.996551724137931,2.4827586206896552,5.0,0.0,0.0,0,0.009756614,-0.06277156839825666,0.35051546391752575,0.0,0.0048543689320388345,0.06120003888309,,VIN13_NF_ALT
21.0,5655,28.166746,0.20098501,26.39,27.799999237060547,28.389999389648438,0.0071355426,0.5900001525878906,0.7435489945638241,0.0,28.055056,28.155764,23.39,,0,0.0,0,693.3096,0.00034600139454211065,,450.8800048828125,0.16674666,0.06861184792219276,,,0.998762157382847,0.0,,0.0,0.0,0,0.19088376,0.9368905191406397,0.04864864864864865,0.0,0.0,0.0,,VIN13_NF_ALT
22.0,12096,28.234945,0.09107932,27.8,28.200000762939453,28.389999389648438,0.0032257657,0.18999862670898438,0.5322613257022517,0.0,28.238531,28.22028,25.57224,,0,0.0,0,705.1453,0.0001510604315419784,,370.07000732421875,0.23494504,0.000248015873015873,,,1.0,0.0,,0.0,0.0,0,0.008354962,0.4053122091637313,0.21153846153846154,0.0,0.0,0.0,,VIN13_NF_ALT
23.0,10603,28.258694,0.09668854,27.6,28.200000762939453,28.389999389648438,0.0034215502,0.18999862670898438,0.6356429476542667,0.0,28.226845,28.271765,25.667995,20.8,0,0.0,1,698.0382,0.00020023052614729305,28.295,496.0,0.25869405,9.431293030274451e-05,0.0,-0.0015526325712462727,1.0,0.06790530981797605,5.0,0.0,0.0,0,0.011356166,0.4604114432232822,0.18149466192170818,0.0,0.0,0.0,,VIN13_NF_ALT
24.0,7212,28.25424,0.14147614,22.2,28.200000762939453,28.389999389648438,0.0050072535,0.18999862670898438,0.6383231540360041,0.00027731558513588466,28.280659,28.237957,25.39,22.2,0,0.0,1,702.30725,0.00019442752219860342,,445.5899963378906,0.25605077,0.00013867702121758425,0.0,0.011513010547611627,0.9995840266222962,0.09983361064891846,5.0,0.0,0.0,0,0.01023255,0.4945310518872685,0.24669603524229075,0.0,0.0005181347150259067,7.705797969744355,,VIN13_NF_ALT
25.0,27,28.184814,0.07592364,28.0,28.0,28.200000762939453,0.0026937781,0.20000076293945312,0.15841057013179086,0.0,28.153847,,25.800001,,0,0.0,0,1389.4337,,28.219,555.8300170898438,0.18481544,0.0,,,1.0,0.0,,0.0,0.0,0,0.007692378,0.1111111111111111,0.3333333333333333,,0.0,0.0,,VIN13_NF_ALT
26.0,95,28.203896,0.039526146,28.0,28.200000762939453,28.200000762939453,0.0014014428,0.0,0.14018861839510885,0.0,28.199778,,,,0,0.0,0,652.9856,1.0074291197735391e-05,28.2,568.3200073242188,0.20389545,0.0,,,1.0,0.0,,0.0,0.0,0,0.0017295136,-2.987874900728126e-05,0.045454545454545456,0.0,0.0,0.0,,VIN13_NF_ALT
29.0,417,28.108755,0.17004372,25.8,28.0,28.200000762939453,0.0060494933,0.20000076293945312,0.098621893169316,0.0,28.073507,,24.21849,,0,0.0,0,1115.1705,0.00018317635478821054,28.178724,548.7899780273438,0.092926025,0.009592326139088728,,,0.9952038369304557,0.0,,0.0,0.0,0,0.04267957,0.1620860936248534,0.2391304347826087,0.0,0.0,0.0,,VIN13_NF_ALT
