vin_label,horizon_days,n_days,feature,window_mean,baseline_mean,z_vs_baseline,nf_p05,nf_p95,discriminative
VIN6_F_ALT,60,7,ged_churn,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,60,7,idle_vsi_var,0.0779,0.019700000062584877,0.8,0.0071,0.2914,False
VIN6_F_ALT,60,7,idle_vsi_acf1,0.4456,0.4355,0.06,0.0147,0.7489,False
VIN6_F_ALT,60,7,idle_vsi_zcr,0.2029,0.142,1.18,0.0822,0.6224,False
VIN6_F_ALT,60,7,sag_highload_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,60,7,sag_idle_frac,0.0022,0.0002,5.08,0.0,0.0025,False
VIN6_F_ALT,60,7,uv_dose_day,0.9179,0.927,-0.0,0.0,11.6747,False
VIN6_F_ALT,45,12,vsi_mean,28.0999,28.189199447631836,-2.22,27.802,28.2432,False
VIN6_F_ALT,45,12,vsi_std,0.1915,0.10859999805688858,1.17,0.0804,0.4849,False
VIN6_F_ALT,45,12,vsi_cv,0.0068,0.0038999998942017555,1.2,0.0029,0.0172,False
VIN6_F_ALT,45,12,vsi_min,24.015,25.555999755859375,-0.71,20.2,27.8,False
VIN6_F_ALT,45,12,vsi_p05,27.919,28.0234,-1.19,27.4,28.0,False
VIN6_F_ALT,45,12,vsi_range,0.281,0.286,-0.02,0.2,1.4,False
VIN6_F_ALT,45,12,vsi_entropy,0.2195,0.2692,-0.23,0.061,1.8878,False
VIN6_F_ALT,45,12,vsi_sag_frac,0.0005,0.0001,2.56,0.0,0.0016,False
VIN6_F_ALT,45,12,idle_vsi_mean,28.0757,28.20949935913086,-2.45,27.7998,28.2619,False
VIN6_F_ALT,45,12,cruise_vsi_mean,28.1712,28.17569923400879,-0.15,27.7962,28.2491,False
VIN6_F_ALT,45,12,resting_vsi_mean,25.1241,25.356000900268555,-0.25,23.589,26.39,False
VIN6_F_ALT,45,12,crank_vsi_min,18.6488,22.201499938964844,-1.92,16.39,24.8,False
VIN6_F_ALT,45,12,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,sma_starts,1.3333,0.5771,0.82,0.0,3.0,False
VIN6_F_ALT,45,12,rpm_mean,900.9648,989.9963989257812,-1.24,725.2306,1100.9621,False
VIN6_F_ALT,45,12,vsi_rpm_slope,0.0001,-0.0,1.7,-0.0001,0.0002,False
VIN6_F_ALT,45,12,vsi_ceiling,28.1391,28.21500015258789,-1.87,27.8075,28.2644,False
VIN6_F_ALT,45,12,vsi_onset_rpm,367.9658,361.1863,0.06,172.8,542.08,False
VIN6_F_ALT,45,12,vsi_resid_mean,0.1079,0.18709999322891235,-2.01,-0.1984,0.2423,False
VIN6_F_ALT,45,12,vsi_resid_negfrac,0.0663,0.005,5.6,0.0037,0.8674,False
VIN6_F_ALT,45,12,crank_recovery_t,0.0004,0.0004,0.0,0.0,0.0533,False
VIN6_F_ALT,45,12,crank_recovery_slope,0.0623,0.0039,2.53,-0.0317,0.04,False
VIN6_F_ALT,45,12,reg_duty_frac,0.996,0.9984,-0.13,0.9628,1.0,False
VIN6_F_ALT,45,12,cranks_per_ehr,0.8308,0.0749,5.81,0.0,0.4071,True
VIN6_F_ALT,45,12,crank_dur_mean,5.0,5.1613,-0.18,5.0,5.0,False
VIN6_F_ALT,45,12,ged1_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,ged3_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,ged_churn,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,idle_vsi_var,0.0311,0.019700000062584877,0.16,0.0071,0.2914,False
VIN6_F_ALT,45,12,idle_vsi_acf1,0.3806,0.4355,-0.33,0.0147,0.7489,False
VIN6_F_ALT,45,12,idle_vsi_zcr,0.1878,0.142,0.89,0.0822,0.6224,False
VIN6_F_ALT,45,12,sag_highload_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,sag_idle_frac,0.0006,0.0002,0.97,0.0,0.0025,False
VIN6_F_ALT,45,12,uv_dose_day,1.1094,0.927,0.04,0.0,11.6747,False
VIN6_F_ALT,30,16,vsi_mean,28.1469,28.189199447631836,-1.05,27.802,28.2432,False
VIN6_F_ALT,30,16,vsi_std,0.1346,0.10859999805688858,0.37,0.0804,0.4849,False
VIN6_F_ALT,30,16,vsi_cv,0.0048,0.0038999998942017555,0.38,0.0029,0.0172,False
VIN6_F_ALT,30,16,vsi_min,23.7487,25.555999755859375,-0.84,20.2,27.8,False
VIN6_F_ALT,30,16,vsi_p05,28.0,28.0234,-0.27,27.4,28.0,False
VIN6_F_ALT,30,16,vsi_range,0.2,0.286,-0.38,0.2,1.4,False
VIN6_F_ALT,30,16,vsi_entropy,0.142,0.2692,-0.58,0.061,1.8878,False
VIN6_F_ALT,30,16,vsi_sag_frac,0.0002,0.0001,0.47,0.0,0.0016,False
VIN6_F_ALT,30,16,idle_vsi_mean,28.1343,28.20949935913086,-1.38,27.7998,28.2619,False
VIN6_F_ALT,30,16,cruise_vsi_mean,28.1625,28.17569923400879,-0.44,27.7962,28.2491,False
VIN6_F_ALT,30,16,resting_vsi_mean,24.3539,25.356000900268555,-1.08,23.589,26.39,False
VIN6_F_ALT,30,16,crank_vsi_min,18.4173,22.201499938964844,-2.04,16.39,24.8,False
VIN6_F_ALT,30,16,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,sma_starts,0.75,0.5771,0.19,0.0,3.0,False
VIN6_F_ALT,30,16,rpm_mean,928.3022,989.9963989257812,-0.86,725.2306,1100.9621,False
VIN6_F_ALT,30,16,vsi_rpm_slope,0.0001,-0.0,1.07,-0.0001,0.0002,False
VIN6_F_ALT,30,16,vsi_ceiling,28.1671,28.21500015258789,-1.18,27.8075,28.2644,False
VIN6_F_ALT,30,16,vsi_onset_rpm,452.9225,361.1863,0.78,172.8,542.08,False
VIN6_F_ALT,30,16,vsi_resid_mean,0.1353,0.18709999322891235,-1.31,-0.1984,0.2423,False
VIN6_F_ALT,30,16,vsi_resid_negfrac,0.0248,0.005,1.81,0.0037,0.8674,False
VIN6_F_ALT,30,16,crank_recovery_t,0.0007,0.0004,0.23,0.0,0.0533,False
VIN6_F_ALT,30,16,crank_recovery_slope,-0.0045,0.0039,-0.36,-0.0317,0.04,False
VIN6_F_ALT,30,16,reg_duty_frac,0.9996,0.9984,0.07,0.9628,1.0,False
VIN6_F_ALT,30,16,cranks_per_ehr,0.0895,0.0749,0.11,0.0,0.4071,False
VIN6_F_ALT,30,16,crank_dur_mean,5.0,5.1613,-0.18,5.0,5.0,False
VIN6_F_ALT,30,16,ged1_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,ged3_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,ged_churn,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,idle_vsi_var,0.0197,0.019700000062584877,0.0,0.0071,0.2914,False
VIN6_F_ALT,30,16,idle_vsi_acf1,0.3865,0.4355,-0.29,0.0147,0.7489,False
VIN6_F_ALT,30,16,idle_vsi_zcr,0.2408,0.142,1.92,0.0822,0.6224,False
VIN6_F_ALT,30,16,sag_highload_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,sag_idle_frac,0.0003,0.0002,0.24,0.0,0.0025,False
VIN6_F_ALT,30,16,uv_dose_day,2.3074,0.927,0.31,0.0,11.6747,False
VIN6_F_ALT,14,7,vsi_mean,28.1077,28.189199447631836,-2.03,27.802,28.2432,False
VIN6_F_ALT,14,7,vsi_std,0.1387,0.10859999805688858,0.42,0.0804,0.4849,False
VIN6_F_ALT,14,7,vsi_cv,0.0049,0.0038999998942017555,0.44,0.0029,0.0172,False
VIN6_F_ALT,14,7,vsi_min,24.5971,25.555999755859375,-0.44,20.2,27.8,False
VIN6_F_ALT,14,7,vsi_p05,28.0,28.0234,-0.27,27.4,28.0,False
VIN6_F_ALT,14,7,vsi_range,0.2,0.286,-0.38,0.2,1.4,False
