day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,vsi_rpm_slope,vsi_ceiling,vsi_onset_rpm,vsi_resid_mean,vsi_resid_negfrac,crank_recovery_t,crank_recovery_slope,reg_duty_frac,cranks_per_ehr,crank_dur_mean,ged1_frac,ged3_frac,ged_churn,idle_vsi_var,idle_vsi_acf1,idle_vsi_zcr,sag_highload_frac,sag_idle_frac,uv_dose_day,dtf,vin_label
0,688,28.286743,0.15207547,25.2,28.200000762939453,28.389999389648438,0.00537621,0.18999862670898438,0.7025292086542059,0.0,28.26897,28.293623,25.95,,0,0.0,0,860.8529,7.961478493820307e-05,,551.3499755859375,0.28674427,0.0014534883720930232,,,0.998546511627907,0.0,,0.0,0.0,0,0.10812131,0.11297313334988365,0.11458333333333333,0.0,0.0,0.0,552.0,VIN6_F_ALT
1,87,28.22184,0.060951862,28.2,28.200000762939453,28.389999389648438,0.002159741,0.18999862670898438,0.35672572310660544,0.0,28.223108,,25.195,,0,0.0,0,645.55206,-3.488937043178975e-05,,539.030029296875,0.22183968,0.0,,,1.0,0.0,,0.0,0.0,0,0.0039092833,0.3663194444444449,0.136986301369863,,0.0,0.0,551.0,VIN6_F_ALT
2,475,28.188654,0.34281275,20.8,28.200000762939453,28.200000762939453,0.012161373,0.0,0.1682122452671338,0.002105263157894737,28.204742,28.209446,24.832897,20.8,0,0.0,1,817.9511,4.414226680772381e-05,,525.27001953125,0.20170596,0.002105263157894737,0.0,-0.11209406530716345,0.9978947368421053,1.5157894736842106,5.0,0.0,0.0,0,0.0019031699,-0.012133938458785385,0.07792207792207792,0.0,0.004,0.8352001989364624,550.0,VIN6_F_ALT
15,29,28.193104,0.03713921,28.0,28.200000762939453,28.200000762939453,0.0013173154,0.0,-0.0,0.0,28.181818,,,,0,0.0,0,1122.4159,0.0,28.200003,558.0800170898438,0.1862076,0.0,,,1.0,0.0,,0.0,0.0,0,0.0036363862,-0.11111111111111109,0.2,0.0,0.0,0.0,537.0,VIN6_F_ALT
29,192,27.965624,0.10764353,27.8,27.799999237060547,28.200000762939453,0.0038491373,0.40000152587890625,0.5565405286353021,0.0,27.96,,,,0,0.0,0,677.5046,0.00013900493295496992,28.166666,516.3200073242188,-0.03437513,0.24479166666666666,,,1.0,0.0,,0.0,0.0,0,0.01057477,0.2439371525583548,0.29310344827586204,,0.0,0.0,523.0,VIN6_F_ALT
30,95,28.217789,0.06896123,28.0,28.200000762939453,28.389999389648438,0.0024438922,0.18999862670898438,0.3584510062992733,0.0,28.192858,,,,0,0.0,0,1314.688,5.3897370677650564e-05,28.259375,568.1500244140625,0.20305316,0.0,,,1.0,0.0,,0.0,0.0,0,0.0014026009,0.700528900717694,0.01818181818181818,0.0,0.0,0.0,522.0,VIN6_F_ALT
34,276,28.26808,0.09432727,28.0,28.200000762939453,28.389999389648438,0.003336883,0.18999862670898438,0.6567605844215625,0.0,28.270706,,22.900002,20.6,0,0.0,1,676.72455,-9.342796931993732e-05,28.2,559.510009765625,0.26445675,0.0,0.0,,1.0,2.608695652173913,5.0,0.0,0.0,0,0.009081677,0.6393261092507546,0.16535433070866143,0.0,0.0,0.0,518.0,VIN6_F_ALT
36,160,28.173752,0.42122725,23.0,28.0,28.389999389648438,0.014951053,0.3899993896484375,0.41388305163228956,0.00625,28.207748,,23.839998,23.0,0,0.0,1,804.2292,-2.0566661579620127e-05,28.39,459.510009765625,0.17500052,0.00625,0.0,,0.99375,4.5,5.0,0.0,0.0,0,0.007806505,0.5477895230407703,0.05454545454545454,0.0,0.006802721088435374,0.005000000121071935,516.0,VIN6_F_ALT
40,89,27.331573,0.63410777,24.2,26.600000381469727,27.919999694824217,0.023200558,1.31999931335449,1.8013876690884008,0.0,26.906216,,22.8,,0,0.0,0,1370.3693,0.002185608379278735,27.80625,626.0700073242188,-0.6998881,0.9438202247191011,,,0.7078651685393258,0.0,,0.0,0.0,0,0.47386906,0.7687100272123255,0.2777777777777778,0.0,0.0,0.0,512.0,VIN6_F_ALT
41,1043,27.986721,0.27289367,24.8,27.389999389648438,28.200000762939453,0.009750826,0.8100013732910156,0.8056943671040947,0.0,28.003952,28.042717,25.705511,,0,0.0,0,860.1394,6.029342417237218e-05,28.057144,323.19000244140625,-0.014237597,0.2253116011505273,,,0.9942473633748802,0.0,,0.0,0.0,0,0.0817253,0.7609362581673543,0.23389021479713604,0.0,0.0,0.0,511.0,VIN6_F_ALT
42,245,28.152653,0.085189976,28.0,28.0,28.200000762939453,0.0030260016,0.20000076293945312,-0.0,0.0,28.152653,,,,0,0.0,0,600.0812,,,595.6699829101562,0.15265365,0.0,,,1.0,0.0,,0.0,0.0,0,0.0072573195,0.32146829810901023,0.2459016393442623,,0.0,0.0,510.0,VIN6_F_ALT
43,1544,28.073381,0.33024973,20.0,27.799999237060547,28.200000762939453,0.011763803,0.40000152587890625,0.3093314254013012,0.0012953367875647669,28.071798,28.095911,,20.0,0,0.0,1,811.39386,9.726251865095785e-05,28.17931,425.1099853515625,0.08063514,0.06152849740932642,0.0,0.0046534185920367515,0.9974093264248705,0.46632124352331605,5.0,0.0,0.0,0,0.06296632,0.8969863443965473,0.16933333333333334,0.0,0.002036659877800407,0.01100000356882802,509.0,VIN6_F_ALT
44,1130,28.015203,0.28247166,26.8,27.200000762939453,28.200000762939453,0.010082799,1.0,0.5844767139360643,0.0,27.874443,28.130919,24.225397,,0,0.0,0,894.345,0.0003285111758577942,28.107693,480.30999755859375,0.015203832,0.15486725663716813,,,0.9929203539823008,0.0,,0.0,0.0,0,0.12303748,0.9248797376492638,0.18371212121212122,0.0,0.0,0.0,508.0,VIN6_F_ALT
47,2144,28.04528,0.19228688,27.0,27.799999237060547,28.200000762939453,0.006856301,0.40000152587890625,0.5651043095112007,0.0,27.971197,28.042442,,,0,0.0,0,918.0779,3.2508160005340935e-06,28.0,465.1099853515625,0.045280106,0.16044776119402984,,,1.0,0.0,,0.0,0.0,0,0.077061586,0.9189632981150128,0.030947775628626693,0.0,0.0,0.0,505.0,VIN6_F_ALT
48,3581,28.15945,0.08151498,27.8,28.0,28.200000762939453,0.0028947645,0.20000076293945312,0.01670954068789646,0.0,28.155745,28.165218,24.8,,0,0.0,0,1022.0315,3.573129606885364e-05,28.167274,420.30999755859375,0.15922709,0.0016755096341803965,,,1.0,0.0,,0.0,0.0,0,0.007127199,0.4015153188575434,0.20757363253856942,0.0,0.0,0.0,504.0,VIN6_F_ALT
49,5867,28.142513,0.15215452,19.39,28.0,28.200000762939453,0.005406572,0.20000076293945312,0.0912625086460019,0.0001704448610874382,28.147038,28.158163,24.992594,19.39,0,0.0,1,938.72534,2.757482621211576e-05,28.1648,385.75,0.14199166,0.009376065461984317,0.0,-0.0014023413975123892,0.9994886654167376,0.12272029998295553,5.0,0.0,0.0,0,0.01311164,0.4194593651313408,0.17937853107344634,0.0,0.0004233700254022015,11.12393147251213,503.0,VIN6_F_ALT
50,8812,28.145164,0.11563781,22.2,28.0,28.200000762939453,0.004108621,0.20000076293945312,0.04680760986133389,0.00011348161597821153,28.143518,28.141169,25.004444,22.2,0,0.0,1,1021.6442,1.0622129550774352e-06,28.162027,194.5500030517578,0.14416645,0.006241488878801634,0.0,-0.0020263519258541898,0.9995460735360872,0.0817067635043123,5.0,0.0,0.0,0,0.010500396,0.44986554215917823,0.19185645272601795,0.0,0.00035842293906810036,2.437198967070505,502.0,VIN6_F_ALT
51,6315,28.153784,0.09021678,26.8,28.0,28.200000762939453,0.0032044281,0.20000076293945312,0.05276104597874068,0.0,28.150553,28.152376,25.277905,26.39,0,0.0,1,1000.9268,-4.0812092674455595e-06,28.144602,333.6000061035156,0.15229511,0.006175771971496437,0.0,-0.002170855524525745,0.9998416468725257,0.11401425178147268,5.0,0.0,0.0,0,0.00819402,0.5230016862334506,0.1702954898911353,0.0,0.0,0.0,501.0,VIN6_F_ALT
52,9181,28.133257,0.11543388,25.8,28.0,28.200000762939453,0.004103111,0.20000076293945312,0.07167656164284783,0.0,28.14881,28.122435,25.665,,0,0.0,0,981.35126,-3.072075662840058e-05,28.14901,316.4700012207031,0.13194387,0.00980392156862745,,,0.999128635224921,0.0,,0.0,0.0,0,0.011983594,0.42559110473391887,0.17093508040500296,0.0,0.0,0.0,500.0,VIN6_F_ALT
53,9540,28.152159,0.09410114,26.0,28.0,28.200000762939453,0.0033425905,0.20000076293945312,0.06224789164207904,0.0,28.15513,28.145433,24.390001,20.0,0,0.0,1,993.3809,-6.80271399575173e-06,28.163065,330.07000732421875,0.1498119,0.009224318658280923,0.0,-0.004385374004653303,0.999895178197065,0.07547169811320754,5.0,0.0,0.0,0,0.007875415,0.5071432641187481,0.151864406779661,0.0,0.0,0.0,499.0,VIN6_F_ALT
54,8008,28.125916,0.1270375,24.8,28.0,28.200000762939453,0.0045167417,0.20000076293945312,0.10821555314377213,0.0,28.126284,28.114208,24.801352,20.0,0,0.0,1,990.9162,-4.4048511161915024e-05,28.123005,410.07000732421875,0.12381791,0.023851148851148852,0.005000000121071935,0.0010615608951981884,0.9988761238761239,0.08991008991008992,5.0,0.0,0.0,0,0.031911552,0.5331675989498601,0.19358669833729217,0.0,0.0,0.0,498.0,VIN6_F_ALT
55,8060,28.152483,0.09818282,25.8,28.0,28.200000762939453,0.0034875367,0.20000076293945312,0.045890372815791704,0.0,28.16674,28.144255,24.689867,,0,0.0,0,943.115,-6.90178420786516e-06,28.169422,438.8800048828125,0.1512861,0.00570790420647723,,,0.9995037220843672,0.0,,0.0,0.0,0,0.014663321,0.25846236247571674,0.1248062015503876,0.0,0.0,0.0,497.0,VIN6_F_ALT
56,10896,28.112148,0.12004095,22.8,28.0,28.200000762939453,0.004270074,0.20000076293945312,0.061441329330089646,9.177679882525697e-05,28.128529,28.106688,24.784384,,0,0.0,0,1017.14996,6.653218457526571e-06,28.13421,254.5500030517578,0.11060707,0.012298091042584435,,,0.9995411160058737,0.0,,0.0,0.0,0,0.03787559,0.17741215485921397,0.20965189873417722,0.0,0.00032133676092544985,0.22800014489144083,496.0,VIN6_F_ALT
57,6706,28.119886,0.106758446,26.39,28.0,28.200000762939453,0.003796546,0.20000076293945312,0.05157974041428218,0.0,28.12949,28.105408,24.557083,21.0,0,0.0,1,1017.34686,-4.2112004341968536e-05,28.149277,207.19000244140625,0.118633024,0.00969281240679988,0.0,-0.003929548083646348,0.9997017596182524,0.10736653742916792,5.0,0.0,0.0,0,0.014294056,0.46261119224650743,0.15590551181102363,0.0,0.0,0.0,495.0,VIN6_F_ALT
58,9060,28.145515,0.11386576,23.2,28.0,28.200000762939453,0.0040456094,0.20000076293945312,0.04290389653419717,0.00011037527593818985,28.143318,28.133873,,23.2,0,0.0,1,1014.9858,-1.6067629895766626e-05,28.174845,398.2300109863281,0.14416327,0.007064797439010929,0.0,-0.000637806742407216,0.9993377483443708,0.07947019867549668,5.0,0.0,0.0,0,0.010159183,0.41683342957594127,0.19947848761408082,0.0,0.0003362474781439139,0.00399999628216019,494.0,VIN6_F_ALT
59,7888,28.156937,0.08753768,26.39,28.0,28.200000762939453,0.0031089208,0.20000076293945312,0.03589820380458416,0.0,28.161247,28.152739,24.98037,,0,0.0,0,953.35205,-1.528980380814623e-05,28.174076,329.2699890136719,0.15551092,0.005452009636110054,,,0.9998732251521298,0.0,,0.0,0.0,0,0.0072451746,0.45947665643369434,0.16232876712328767,0.0,0.0,0.0,493.0,VIN6_F_ALT
60,7620,28.128103,0.1482927,22.6,28.0,28.200000762939453,0.0052720476,0.20000076293945312,0.05258039326746031,0.00026246719160104987,28.126898,28.11793,24.9212,22.6,0,0.0,2,933.44824,-1.5674394182011535e-05,28.157963,382.07000732421875,0.12826034,0.008923884514435695,0.0024999999441206455,-0.0007149586615666555,0.9988188976377953,0.1889763779527559,5.0,0.0,0.0,0,0.028734922,0.3107432287090301,0.2688588007736944,0.0,0.0005982650314089142,0.15704996116533865,492.0,VIN6_F_ALT
61,7952,28.071987,0.19822131,24.8,28.0,28.200000762939453,0.0070611783,0.20000076293945312,0.24805507763804996,0.0,27.921047,28.08679,23.92663,,0,0.0,0,984.8231,0.00013769397344528807,28.118593,254.72000122070312,0.07022807,0.04805635929047679,,,0.9973591549295775,0.0,,0.0,0.0,0,0.1630329,0.9215350569781252,0.025728987993138937,0.0,0.0,0.0,491.0,VIN6_F_ALT
62,6721,28.158781,0.089234404,26.2,28.0,28.200000762939453,0.0031689724,0.20000076293945312,0.044700610485864836,0.0,28.162647,28.157413,24.997202,,0,0.0,0,879.7089,4.6654911644318405e-06,28.176,328.95001220703125,0.15723464,0.008480880821306352,,,0.99985121261717,0.0,,0.0,0.0,0,0.008071196,0.5046665506975636,0.13268411442483263,0.0,0.0,0.0,490.0,VIN6_F_ALT
63,7290,28.145596,0.10439257,25.39,28.0,28.200000762939453,0.0037090199,0.20000076293945312,0.03061973115041934,0.0,28.142324,28.15116,24.722221,,0,0.0,0,939.6856,4.698304480602495e-05,28.185247,66.72000122070312,0.14493608,0.0043895747599451305,,,0.9995884773662551,0.0,,0.0,0.0,0,0.026311263,0.2614093937557635,0.17904993909866018,0.0,0.0,0.0,489.0,VIN6_F_ALT
