day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,vsi_rpm_slope,vsi_ceiling,vsi_onset_rpm,vsi_resid_mean,vsi_resid_negfrac,crank_recovery_t,crank_recovery_slope,reg_duty_frac,cranks_per_ehr,crank_dur_mean,ged1_frac,ged3_frac,ged_churn,idle_vsi_var,idle_vsi_acf1,idle_vsi_zcr,sag_highload_frac,sag_idle_frac,uv_dose_day,dtf,vin_label
0.0,152,28.48158,0.29598197,27.8,28.0,29.0,0.010392048,1.0,1.6368515588612769,0.0,28.433334,,26.099998,,0,0.0,0,603.6442,0.00032545782217128496,,551.3599853515625,0.4333334,0.041666666666666664,15.007499999948777,,1.0,0.0,5.0,0.0,0.006779661016949152,0,0.0669502,-0.28903946250858986,0.6808510638297872,,0.0,0.0,,VIN9_NF_ALT
2.0,3123,28.318348,0.30974898,27.2,27.799999237060547,28.799999237060547,0.010938102,1.0,1.5859942487421557,0.0,28.275,28.359217,25.2,,0,0.0,0,1037.6766,5.506328659467045e-05,28.28085,487.8399963378906,0.31782117,0.08742434431741762,0.0025000000605359674,-0.008275450475787718,0.9987191802753762,0.0,5.0,0.0,0.00397474865559972,0,0.11729621,-0.03463637615975927,0.5555555555555556,0.0,0.0,0.0,,VIN9_NF_ALT
3.0,5562,28.27368,0.3249075,21.8,27.799999237060547,28.799999237060547,0.0114915185,1.0,1.5303365200343082,0.0003595828838547285,28.318182,28.283754,26.15,21.8,0,0.0,0,1019.3719,-5.9907895644033244e-05,28.257778,434.0799865722656,0.27346388,0.10078277886497064,0.07019999995827675,0.008987349001407166,0.9962243797195254,0.0,5.0,0.0,0.0023869346733668344,0,0.08775359,0.04714440180378743,0.5197568389057751,0.0,0.0,0.06760018939301382,,VIN9_NF_ALT
4.0,5237,28.385183,0.4416551,22.2,27.799999237060547,29.200000762939453,0.015559354,1.4000015258789062,1.85218788737726,0.00019094901661256445,28.376804,28.409513,,22.2,0,0.0,0,1026.2719,-3.409305433142773e-05,28.301266,365.760009765625,0.38826948,0.11212435233160621,0.014499999970818559,-0.005766478699048973,0.9301126599198014,0.0,5.0,0.0,0.002948982601002654,0,0.2343974,0.13069828995591912,0.4909560723514212,0.0,0.0005434782608695652,0.0,,VIN9_NF_ALT
5.0,5756,28.38155,0.41608,22.6,27.799999237060547,29.0,0.014660228,1.2000007629394531,1.8387772689847817,0.00034746351633078526,28.375956,28.36945,25.633333,23.4,0,0.0,0,974.44025,-5.0812849818690374e-05,28.28857,318.55999755859375,0.3790469,0.10555336746750689,0.371428571441876,0.00020775219366377825,0.9664697706740792,0.0,5.5,0.0,0.003228844342795641,0,0.17059897,0.1258206060208971,0.5178082191780822,0.0,0.0008470986869970351,1.8021995524775236,,VIN9_NF_ALT
6.0,7169,28.43398,0.52254456,26.6,27.600000381469727,29.399999618530273,0.018377468,1.7999992370605469,2.0345993679499523,0.0,28.3404,28.455894,,,0,0.0,0,1075.6411,-0.0001519729236216886,28.430769,462.55999755859375,0.43104935,0.12564747669083912,0.0,-0.003729291545331224,0.8839447621704561,0.0,5.0,0.0,0.0020247469066366703,0,0.28678218,0.12011604824237596,0.5114942528735632,0.0,0.0,0.0,,VIN9_NF_ALT
7.0,4827,28.417444,0.48823947,24.0,27.799999237060547,29.399999618530273,0.017180977,1.6000003814697266,1.936807629953285,0.0,28.393501,28.466667,25.4,,0,0.0,0,1030.4037,-6.167235823407297e-05,28.48317,385.1199951171875,0.41530868,0.11380471380471381,0.010000000009313226,-0.031603232949916814,0.9018023617153511,0.0,5.0,0.0,0.002859866539561487,0,0.30966732,0.1752289520725517,0.42028985507246375,0.0,0.0,0.0,,VIN9_NF_ALT
8.0,5132,28.333828,0.3480176,25.6,27.799999237060547,28.799999237060547,0.01228276,1.0,1.6829218681788038,0.0,28.364532,28.283543,26.5,,0,0.0,0,1009.13855,-0.00012013892988020838,28.403961,459.5199890136719,0.3312274,0.09413020277481324,0.2800000000279397,-0.007611062109215688,0.97564302416212,0.0,5.0,0.0,0.0017830201618433685,0,0.16624422,0.14734976708014502,0.4740740740740741,0.0,0.0,0.0,,VIN9_NF_ALT
9.0,5843,28.536333,0.679589,21.8,27.600000381469727,30.0,0.023814866,2.3999996185302734,2.2482370043115543,0.0003422899195618689,28.431288,28.631622,25.45,21.8,0,0.0,0,1011.714,5.337738034993067e-05,28.385485,403.8399963378906,0.5458507,0.1466464569912846,0.004166666651144624,0.0027230154728543968,0.8173883279137429,0.0,5.833333333333333,0.0,0.002504522053708084,0,0.30461764,0.11396115676548807,0.4338461538461538,0.0,0.0010090817356205853,0.001000003838911745,,VIN9_NF_ALT
10.0,5136,28.686136,0.76064503,21.8,27.600000381469727,30.0,0.02651612,2.3999996185302734,2.394885492724934,0.00019470404984423675,28.590204,28.75544,26.2,21.8,0,0.0,0,1042.1233,0.00023035652120346705,28.72549,430.55999755859375,0.6992685,0.12852664576802508,0.0,-0.04621722418938509,0.7075545171339563,0.0,7.5,0.0,0.001992362609995019,0,0.48219952,0.040555365089223055,0.5,0.0,0.0005717552887364208,4.554001578915864,,VIN9_NF_ALT
11.0,4728,28.395008,0.4481403,26.4,27.799999237060547,29.200000762939453,0.015782362,1.4000015258789062,1.880855003817511,0.0,28.42607,28.464672,24.6,,0,0.0,0,987.2799,4.2793996307337665e-05,28.261728,436.0,0.39246008,0.1126222858506323,0.0016666666294137638,-0.006509598382648518,0.9143401015228426,0.0,5.0,0.0,0.003255738238645613,0,0.2574431,0.12018478146068545,0.4306122448979592,0.0,0.0,0.0,,VIN9_NF_ALT
12.0,4970,28.506037,0.5435212,26.8,27.799999237060547,29.399999618530273,0.019066881,1.6000003814697266,2.0808902131527622,0.0,28.486298,28.561178,25.266668,,0,0.0,0,1013.77344,-1.23473162113091e-06,28.435898,486.8800048828125,0.5039246,0.1240955930716948,12.566333333263174,0.008193946400953655,0.8348088531187122,0.0,5.0,0.0,0.003118844386080105,0,0.29171243,0.21190471973484068,0.45614035087719296,0.0,0.0,0.0,,VIN9_NF_ALT
13.0,7215,28.433153,0.54746306,26.2,27.600000381469727,29.399999618530273,0.019254392,1.7999992370605469,2.1257303882082814,0.0,28.38923,28.45465,,24.4,0,0.0,0,1052.5153,8.150847944172727e-05,28.454725,415.8399963378906,0.4346464,0.16228136882129277,0.0,-0.0027547016010094003,0.8763686763686763,0.0,5.0,0.0,0.001630371491789915,0,0.40903565,0.0919953077751409,0.4781491002570694,0.0,0.0,0.0,,VIN9_NF_ALT
14.0,6471,28.450317,0.4942477,26.6,27.600000381469727,29.200000762939453,0.017372308,1.6000003814697266,2.02804410496423,0.0,28.427895,28.470888,27.2,,0,0.0,0,1019.5789,2.5231065194568913e-05,28.385485,430.0799865722656,0.4486505,0.1361526560082517,0.0,-0.005280154888599192,0.9020244166280328,0.0,5.0,0.0,0.0025783163594173004,0,0.2800526,0.08576879237070613,0.4880952380952381,0.0,0.0,0.0,,VIN9_NF_ALT
15.0,5710,28.493345,0.60666686,20.4,27.600000381469727,29.600000381469727,0.021291528,2.0,2.2070974956512726,0.00017513134851138354,28.47766,28.531662,,20.4,0,0.0,0,1023.34973,0.0001240904974261855,28.48276,367.0400085449219,0.50104266,0.1562085308056872,,,0.8355516637478109,0.0,10.0,0.0,0.0016388557806912992,0,0.34317985,0.049073274746911554,0.5226666666666666,0.0,0.0004950495049504951,7.54560080005005,,VIN9_NF_ALT
16.0,5618,28.524847,0.60556895,25.4,27.600000381469727,29.600000381469727,0.021229524,2.0,2.1863859971240345,0.0,28.376408,28.563778,23.933334,19.6,0,0.0,0,984.7851,1.0731000790636927e-05,28.397501,459.0400085449219,0.52728397,0.12901234567901235,0.010714285740894931,-0.004359284267129271,0.8061587753648985,0.0,5.5,0.0,0.0035137034434293743,0,0.34094757,0.10141700343339383,0.5134408602150538,0.0,0.0,0.0,,VIN9_NF_ALT
17.0,6280,28.4414,0.5367874,21.2,27.600000381469727,29.399999618530273,0.018873451,1.7999992370605469,2.0835399498023346,0.0003184713375796178,28.437012,28.486893,20.2,15.8,0,0.0,0,1046.2195,-6.433077240306665e-05,28.41858,468.0,0.43713742,0.1466041340976203,0.011249999981373549,-0.011614094057252123,0.8869426751592356,0.0,6.0,0.0,0.0014658848614072495,0,0.31250152,0.05590208066014044,0.4820846905537459,0.0,0.00043271311120726956,5.54759849164784,,VIN9_NF_ALT
18.0,6145,28.418388,0.47819,26.4,27.799999237060547,29.200000762939453,0.01682678,1.4000015258789062,1.9688486926713311,0.0,28.399107,28.395119,25.0,,0,0.0,0,1026.9606,-3.344868274962798e-05,28.453732,417.1199951171875,0.41254,0.11509769094138543,0.0,-0.018775961053399723,0.9132628152969894,0.0,5.0,0.0,0.0019677292404565133,0,0.33038062,0.11949772064328924,0.4854586129753915,0.0,0.0,0.0,,VIN9_NF_ALT
19.0,4576,28.405594,0.46000633,18.8,27.799999237060547,29.200000762939453,0.016194217,1.4000015258789062,1.9245313218894677,0.00021853146853146853,28.39937,28.45098,25.55,18.8,0,0.0,0,986.073,6.031492122413151e-05,28.36,469.2799987792969,0.4012811,0.10069177555726365,0.08600000003352762,-0.002791084972943462,0.9434003496503497,0.0,5.833333333333333,0.0,0.002799275481640046,0,0.23078765,0.15274266721550492,0.5110410094637224,0.0,0.0005417118093174431,0.826800121229887,,VIN9_NF_ALT
20.0,7115,28.514236,0.64337933,20.6,27.600000381469727,29.600000381469727,0.022563443,2.0,2.2633583194998446,0.00028109627547435,28.519506,28.57645,24.0,20.6,0,0.0,0,1056.9288,-9.229442761349773e-06,28.374302,350.0799865722656,0.51804453,0.16370159964120198,0.0,-0.02298611130131263,0.8150386507378777,0.0,7.0,0.0,0.0024195499637067507,0,0.3854852,0.006650384386711429,0.5272277227722773,0.0,0.0008532423208191126,11.785398848167063,,VIN9_NF_ALT
21.0,5600,28.517857,0.6244032,21.2,27.600000381469727,29.600000381469727,0.021895165,2.0,2.2045347033570364,0.00035714285714285714,28.477419,28.591358,24.6,21.2,0,0.0,0,1015.62555,0.00012420379203904847,28.442554,434.0799865722656,0.5227746,0.13539005698565534,0.0008333333535119891,-0.00042381089533177557,0.8298214285714286,0.0,5.0,0.0,0.0023703703703703703,0,0.37327448,0.1530611165389028,0.459546925566343,0.0,0.001,1.2957996478758753,,VIN9_NF_ALT
22.0,5409,28.46016,0.48456654,25.0,27.799999237060547,29.200000762939453,0.017026136,1.4000015258789062,2.0007401111914476,0.0,28.391188,28.505062,,,0,0.0,0,1036.5245,4.071383395168654e-05,28.363266,469.1199951171875,0.46085212,0.10610932475884244,0.0,-0.012636340928627966,0.9049731928267702,0.0,6.0,0.0,0.001671224551807961,0,0.24223517,-0.03518165711537955,0.46938775510204084,0.0,0.0,0.0,,VIN9_NF_ALT
23.0,84,28.326189,0.59700435,26.8,27.399999618530273,29.200000762939453,0.021076057,1.8000011444091797,2.0867775685025,0.0,28.116667,28.372728,,,0,0.0,0,949.9219,-9.542381871170261e-05,28.7,593.280029296875,0.27352935,0.2647058823529412,,,0.9166666666666666,0.0,,0.0,0.0,0,0.46151507,0.06434565988832017,0.2727272727272727,0.0,0.0,0.0,,VIN9_NF_ALT
