vin,failed,null_frac
VIN3_F_ALT,true,0.9989193928518619
VIN4_F_ALT,true,0.9988249928053825
VIN9_NF_ALT,false,0.9987870464809356
VIN8_NF_ALT,false,0.9979501066633761
VIN15_NF_ALT,false,0.9963491001852425
VIN4_NF_ALT,false,0.5181435649109001
VIN3_NF_ALT,false,0.3905613244177496
VIN5_NF_ALT,false,0.3124801120464594
VIN1_NF_ALT,false,0.19843563850054835
VIN5_F_ALT,true,0.11630719356510995
VIN12_NF_ALT,false,0.06800355945951389
VIN13_NF_ALT,false,0.06544848440637702
VIN7_NF_ALT,false,0.023790776882938215
VIN2_NF_ALT,false,0.02306737245115439
VIN10_NF_ALT,false,0.021899336838033377
VIN2_F_ALT,true,0.01911415816706523
VIN6_NF_ALT,false,0.018451585223314075
VIN6_F_ALT,true,0.01788752718469177
VIN14_NF_ALT,false,0.016912976746413157
VIN1_F_ALT,true,0.015520957268396886
VIN8_F_ALT,true,0.015456627018702762
VIN10_F_ALT,true,0.014837723981138185
VIN7_F_ALT,true,0.01375921751509749
VIN9_F_ALT,true,0.01262978557900433
VIN11_NF_ALT,false,0.009608957680249183
