vin,failed,resid_mean,resid_neg_frac,resid_oscillation,resid_slope_30d
VIN1_F_ALT,true,-0.03574245795607567,0.48182869925450666,0.16902513802051544,0.007293454672026554
VIN2_F_ALT,true,0.03522704914212227,0.08946274720229157,0.2060033231973648,-0.03009915182675672
VIN3_F_ALT,true,-0.08619590848684311,0.45436401283899636,0.08942431211471558,-0.0007883879287713183
VIN4_F_ALT,true,-0.08725395798683167,0.3897828572979833,0.18678292632102966,0.0033729860378849718
VIN5_F_ALT,true,-0.01594911329448223,0.13834209120765126,0.029936399310827255,-0.00046617404025025335
VIN6_F_ALT,true,0.16456474363803864,0.00782962954758925,0.06343698501586914,-0.0025852303775866464
VIN7_F_ALT,true,-0.012760409153997898,0.1474677594863857,0.039044179022312164,-0.0022535443171295276
VIN8_F_ALT,true,-0.17440953850746155,0.8094164725452403,0.7929937243461609,-0.010170480448160083
VIN9_F_ALT,true,0.2011117935180664,0.004496240048088129,0.058953747153282166,-0.0006705719517653716
VIN10_F_ALT,true,0.158060684800148,0.012653592767568165,0.08573149144649506,-0.008131141912552578
VIN1_NF_ALT,false,0.062471937388181686,0.08709116914637821,0.11341218650341034,-0.000054953894572740503
VIN2_NF_ALT,false,0.06894658505916595,0.06621668193538484,0.2582342326641083,-0.00018888306084012963
VIN3_NF_ALT,false,-0.03861922025680542,0.20409212442905572,0.07976467162370682,0.00021098022835041157
VIN4_NF_ALT,false,0.06147874891757965,0.07369134059873106,0.1112351343035698,0.0012650080812521025
VIN5_NF_ALT,false,0.012974251993000507,0.1636972934035001,0.11372324079275131,0.00009365836790327224
VIN6_NF_ALT,false,-0.18099121749401093,0.8518709544461927,0.10374566167593002,0.0021867432323874
VIN7_NF_ALT,false,-0.08452186733484268,0.4635231820244513,0.09459768235683441,-0.0015726089110082862
VIN8_NF_ALT,false,0.0052190120331943035,0.25552679130365846,0.07670298963785172,-0.0031354377819049198
VIN9_NF_ALT,false,0.30846065282821655,0.2167598929809692,0.1548755168914795,-0.0017911215446417003
VIN10_NF_ALT,false,0.07677333801984787,0.09269870976756873,0.09940915554761887,-0.005647251886772511
VIN11_NF_ALT,false,0.009882188402116299,0.1618965084102422,0.5654452443122864,0.00176595047331758
VIN12_NF_ALT,false,-0.044141992926597595,0.21591727387947213,0.2223537415266037,-0.001544257953298901
VIN13_NF_ALT,false,0.17565196752548218,0.011050788049224256,0.08037306368350983,-0.0005553183188295203
VIN14_NF_ALT,false,0.12118250876665115,0.020389847974612917,0.0550086572766304,-0.0002601704472164162
VIN15_NF_ALT,false,-0.021355323493480682,0.29713118267280053,0.2956612706184387,0.005578141846384376
