feature,logit_coef,perm_importance
VSI,-0.3483951538468997,0.18541229909154433
RPM,0.702864023385149,0.06815600978336822
ANR,-0.32937063192833727,0.030035814116002757
CSP,0.0068498874859435266,0.007477288609364053
SMA,-0.07876232485247397,0.0
