vin_label,horizon_days,n_days,feature,window_mean,baseline_mean,z_vs_baseline,nf_p05,nf_p95,discriminative
VIN6_F_ALT,30,16,rpm_mean,928.3022,989.9963989257812,-0.86,725.2306,1100.9621,False
VIN6_F_ALT,14,7,vsi_mean,28.1077,28.189199447631836,-2.03,27.802,28.2432,False
VIN6_F_ALT,14,7,vsi_std,0.1387,0.10859999805688858,0.42,0.0804,0.4849,False
VIN6_F_ALT,14,7,vsi_cv,0.0049,0.0038999998942017555,0.44,0.0029,0.0172,False
VIN6_F_ALT,14,7,vsi_min,24.5971,25.555999755859375,-0.44,20.2,27.8,False
VIN6_F_ALT,14,7,vsi_p05,28.0,28.0234,-0.27,27.4,28.0,False
VIN6_F_ALT,14,7,vsi_range,0.2,0.286,-0.38,0.2,1.4,False
VIN6_F_ALT,14,7,vsi_entropy,0.1324,0.2692,-0.62,0.061,1.8878,False
VIN6_F_ALT,14,7,vsi_sag_frac,0.0001,0.0001,-0.02,0.0,0.0016,False
VIN6_F_ALT,14,7,idle_vsi_mean,28.0517,28.20949935913086,-2.89,27.7998,28.2619,False
VIN6_F_ALT,14,7,cruise_vsi_mean,28.1129,28.17569923400879,-2.09,27.7962,28.2491,False
VIN6_F_ALT,14,7,resting_vsi_mean,24.6083,25.356000900268555,-0.8,23.589,26.39,False
VIN6_F_ALT,14,7,crank_vsi_min,19.995,22.201499938964844,-1.19,16.39,24.8,False
VIN6_F_ALT,14,7,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,14,7,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,14,7,sma_starts,0.5714,0.5771,-0.01,0.0,3.0,False
VIN6_F_ALT,14,7,rpm_mean,1009.6186,989.9963989257812,0.27,725.2306,1100.9621,False
VIN6_F_ALT,7,7,vsi_mean,28.0674,28.189199447631836,-3.03,27.802,28.2432,False
VIN6_F_ALT,7,7,vsi_std,0.2024,0.10859999805688858,1.33,0.0804,0.4849,False
VIN6_F_ALT,7,7,vsi_cv,0.0072,0.0038999998942017555,1.36,0.0029,0.0172,False
VIN6_F_ALT,7,7,vsi_min,20.6286,25.555999755859375,-2.28,20.2,27.8,False
VIN6_F_ALT,7,7,vsi_p05,27.8857,28.0234,-1.57,27.4,28.0,False
VIN6_F_ALT,7,7,vsi_range,0.3143,0.286,0.12,0.2,1.4,False
VIN6_F_ALT,7,7,vsi_entropy,0.3215,0.2692,0.24,0.061,1.8878,False
VIN6_F_ALT,7,7,vsi_sag_frac,0.0002,0.0001,0.86,0.0,0.0016,False
VIN6_F_ALT,7,7,idle_vsi_mean,28.0239,28.20949935913086,-3.4,27.7998,28.2619,False
VIN6_F_ALT,7,7,cruise_vsi_mean,28.0781,28.17569923400879,-3.25,27.7962,28.2491,False
VIN6_F_ALT,7,7,resting_vsi_mean,24.3075,25.356000900268555,-1.13,23.589,26.39,False
VIN6_F_ALT,7,7,crank_vsi_min,18.316,22.201499938964844,-2.09,16.39,24.8,False
VIN6_F_ALT,7,7,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,7,7,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,7,7,sma_starts,2.0,0.5771,1.55,0.0,3.0,False
VIN6_F_ALT,7,7,rpm_mean,972.367,989.9963989257812,-0.25,725.2306,1100.9621,False
VIN9_F_ALT,90,23,vsi_mean,28.204,28.202999114990234,0.02,27.802,28.2432,False
VIN9_F_ALT,90,23,vsi_std,0.1083,0.1103999987244606,-0.03,0.0804,0.4849,False
VIN9_F_ALT,90,23,vsi_cv,0.0038,0.0038999998942017555,-0.03,0.0029,0.0172,False
VIN9_F_ALT,90,23,vsi_min,23.8674,24.50779914855957,-0.26,20.2,27.8,False
VIN9_F_ALT,90,23,vsi_p05,28.0448,28.0549,-0.1,27.4,28.0,False
VIN9_F_ALT,90,23,vsi_range,0.3204,0.2901,0.13,0.2,1.4,False
VIN9_F_ALT,90,23,vsi_entropy,0.3404,0.3484,-0.04,0.061,1.8878,False
VIN9_F_ALT,90,23,vsi_sag_frac,0.0001,0.0001,0.19,0.0,0.0016,False
VIN9_F_ALT,90,23,idle_vsi_mean,28.2085,28.20829963684082,0.0,27.7998,28.2619,False
VIN9_F_ALT,90,23,cruise_vsi_mean,28.1976,28.19879913330078,-0.03,27.7962,28.2491,False
VIN9_F_ALT,90,23,resting_vsi_mean,25.06,25.434999465942383,-0.68,23.589,26.39,False
VIN9_F_ALT,90,23,crank_vsi_min,19.9725,21.590999603271484,-0.74,16.39,24.8,False
VIN9_F_ALT,90,23,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN9_F_ALT,90,23,ged2_frac,0.0,0.0,,0.0,0.0,False
