day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
2,2464,28.098534,0.110967785,26.6,28.0,28.200000762939453,0.0039492375,0.20000076293945312,0.047223653025481205,0.0,28.050869,28.16,25.241177,25.2,0,0.0,1,615.16986,671.0,VIN7_F_ALT
3,6441,28.101381,0.113438874,24.39,28.0,28.200000762939453,0.004036772,0.20000076293945312,0.052024324485273526,0.0,28.047024,28.078838,24.846457,19.8,0,0.0,2,647.98035,670.0,VIN7_F_ALT
4,7270,28.137993,0.10803919,24.2,28.0,28.200000762939453,0.0038396197,0.20000076293945312,0.018350092018768593,0.0,28.085129,28.146313,25.088505,,0,0.0,0,677.35455,669.0,VIN7_F_ALT
5,9110,28.103117,0.11023302,24.39,28.0,28.200000762939453,0.003922448,0.20000076293945312,0.03250337329331453,0.0,28.10306,28.093418,24.781818,,0,0.0,0,635.98224,668.0,VIN7_F_ALT
6,8877,28.049973,0.28842992,25.6,27.759999465942386,28.200000762939453,0.010282717,0.44000129699706747,0.41419174120215363,0.0,28.109375,27.969597,25.39,,0,0.0,0,605.25116,667.0,VIN7_F_ALT
7,7790,28.131319,0.12190808,22.39,28.0,28.200000762939453,0.004333536,0.20000076293945312,0.028206562425735042,0.00012836970474967908,28.114634,28.146809,25.11875,22.39,0,0.0,1,610.7398,666.0,VIN7_F_ALT
8,3739,28.099918,0.104531325,27.0,28.0,28.200000762939453,0.0037199869,0.20000076293945312,0.028660951963247312,0.0,28.100931,28.105555,25.027136,,0,0.0,0,608.82855,665.0,VIN7_F_ALT
9,387,28.148787,0.3906855,21.39,28.0,28.200000762939453,0.013879302,0.20000076293945312,0.036027161709164784,0.002583979328165375,28.143406,,24.92196,21.39,0,0.0,1,1554.0886,664.0,VIN7_F_ALT
10,345,28.09678,0.13809915,26.6,28.0,28.200000762939453,0.0049151233,0.20000076293945312,0.05947116463886418,0.0,28.083466,,24.374191,20.0,0,0.0,1,1376.4247,663.0,VIN7_F_ALT
12,96,28.200003,0.0,28.2,28.200000762939453,28.200000762939453,0.0,0.0,-0.0,0.0,28.2,,,,0,0.0,0,803.6236,661.0,VIN7_F_ALT
13,157,28.155413,0.083509035,28.0,28.0,28.200000762939453,0.0029660028,0.20000076293945312,-0.0,0.0,28.145945,,,,0,0.0,0,762.71765,660.0,VIN7_F_ALT
14,3087,27.995207,0.056493778,27.2,28.0,28.0,0.0020179804,0.0,0.1982179417199756,0.0,27.992476,27.99693,24.633045,,0,0.0,0,1006.94354,659.0,VIN7_F_ALT
15,10904,27.995506,0.06263947,27.6,27.799999237060547,28.0,0.002237483,0.20000076293945312,0.22866288003897273,0.0,27.98085,27.999249,25.6,,0,0.0,0,1026.5035,658.0,VIN7_F_ALT
16,7233,28.0021,0.13002115,21.39,27.799999237060547,28.200000762939453,0.004643264,0.40000152587890625,0.26316132904560063,0.00027651043826904464,28.009523,28.002068,25.35194,21.39,0,0.0,2,1037.8846,657.0,VIN7_F_ALT
17,3866,28.00776,0.07532142,27.6,27.799999237060547,28.200000762939453,0.0026893055,0.40000152587890625,0.20521535800074073,0.0,28.031605,27.99054,25.39,,0,0.0,0,903.34106,656.0,VIN7_F_ALT
18,7756,28.011604,0.08701366,25.8,27.799999237060547,28.200000762939453,0.0031063433,0.40000152587890625,0.20978357397920971,0.0,28.028622,28.002975,25.369482,22.39,0,0.0,1,1119.617,655.0,VIN7_F_ALT
19,10897,27.974342,0.075497836,27.2,27.799999237060547,28.0,0.0026988243,0.20000076293945312,0.4117714288616763,0.0,27.948381,27.986044,24.786451,,0,0.0,0,1079.5193,654.0,VIN7_F_ALT
20,606,28.012196,0.13534172,25.6,27.799999237060547,28.200000762939453,0.0048315283,0.40000152587890625,0.2524835754177769,0.0,28.005789,,24.916168,25.2,0,0.0,1,731.9696,653.0,VIN7_F_ALT
22,87,28.01609,0.069673195,27.8,28.0,28.200000762939453,0.0024868993,0.20000076293945312,0.10945235816266657,0.0,28.016216,,,,0,0.0,0,693.9789,651.0,VIN7_F_ALT
23,69,28.153625,0.08502577,28.0,28.0,28.200000762939453,0.0030200647,0.20000076293945312,-0.0,0.0,28.149206,,,,0,0.0,0,646.1705,650.0,VIN7_F_ALT
27,1553,27.984934,0.06700261,27.8,27.799999237060547,28.0,0.0023942387,0.20000076293945312,0.3175190256611204,0.0,27.99411,27.975737,24.2,,0,0.0,0,829.0902,646.0,VIN7_F_ALT
29,2542,28.042173,0.0907344,27.6,28.0,28.200000762939453,0.0032356407,0.20000076293945312,0.09557077349491974,0.0,28.043163,28.041822,,,0,0.0,0,781.0376,644.0,VIN7_F_ALT
30,2384,28.02827,0.19292419,19.8,28.0,28.200000762939453,0.0068832,0.20000076293945312,0.1434948203123078,0.00041946308724832214,28.032366,28.03439,25.2,19.8,0,0.0,0,877.90424,643.0,VIN7_F_ALT
31,2396,28.103006,0.10179712,27.8,28.0,28.200000762939453,0.0036222858,0.20000076293945312,0.02929673556054643,0.0,28.103472,,24.793142,21.39,0,0.0,2,604.5974,642.0,VIN7_F_ALT
