day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
0.0,143,28.182798,0.16389377,26.39,28.020000076293947,28.200000762939453,0.005815383,0.1800006866455064,0.23439530143281936,0.0,28.168453,,24.578287,,0,0.0,0,1018.56055,,VIN5_NF_ALT
1.0,1018,28.207092,0.3106952,20.2,28.200000762939453,28.389999389648438,0.01101479,0.18999862670898438,0.4683465677490375,0.0009823182711198428,28.213696,28.219,24.724276,20.2,0,0.0,2,740.2777,,VIN5_NF_ALT
14.0,514,28.230488,0.160661,25.2,28.200000762939453,28.389999389648438,0.005691046,0.18999862670898438,0.5539150381136282,0.0,28.229162,,24.775,,0,0.0,0,625.0918,,VIN5_NF_ALT
15.0,2367,28.211151,0.2517591,23.0,28.0,28.389999389648438,0.0089241,0.3899993896484375,0.8651365390224943,0.0004224757076468103,27.952696,28.066227,24.97936,13.19,0,0.0,1,681.7083,,VIN5_NF_ALT
16.0,2,28.39,0.0,28.39,28.389999389648438,28.389999389648438,0.0,0.0,,0.0,28.39,,25.349733,,0,0.0,0,608.79,,VIN5_NF_ALT
17.0,10,27.559,1.703829,22.8,24.779999923706054,28.304500007629393,0.061824776,3.524500083923339,0.9404479886553263,0.1,28.098751,,24.942997,17.8,0,0.0,1,576.359,,VIN5_NF_ALT
43.0,578,27.984049,0.317041,21.0,27.799999237060547,28.200000762939453,0.011329347,0.40000152587890625,0.2498283739067142,0.0017301038062283738,27.996147,,24.451061,21.0,0,0.0,1,602.6437,,VIN5_NF_ALT
44.0,24,28.200003,0.0,28.2,28.200000762939453,28.200000762939453,0.0,0.0,-0.0,0.0,28.2,,,,0,0.0,0,765.36005,,VIN5_NF_ALT
47.0,196,28.080614,0.10442376,27.8,28.0,28.200000762939453,0.0037187135,0.20000076293945312,0.07916035655374556,0.0,28.058823,28.09,24.813332,,0,0.0,0,1034.8717,,VIN5_NF_ALT
48.0,46,28.2,0.0,28.2,28.200000762939453,28.200000762939453,0.0,0.0,-0.0,0.0,28.2,,,,0,0.0,0,749.0226,,VIN5_NF_ALT
49.0,937,27.967108,0.40912473,19.8,27.799999237060547,28.200000762939453,0.014628782,0.40000152587890625,0.3821765023697067,0.0021344717182497333,27.924646,27.977499,24.573183,19.8,0,0.0,2,662.78876,,VIN5_NF_ALT
50.0,6241,28.05867,0.25622645,22.0,28.0,28.200000762939453,0.009131811,0.20000076293945312,0.23166551958118414,0.0004806921967633392,28.082212,28.098082,26.064886,22.0,0,0.0,4,706.3504,,VIN5_NF_ALT
51.0,4465,28.064556,0.2822666,23.8,28.0,28.200000762939453,0.01005776,0.20000076293945312,0.22863841506724653,0.00022396416573348266,28.053247,28.116331,25.510183,23.8,0,0.0,0,753.45483,,VIN5_NF_ALT
52.0,6322,28.03424,0.3307623,21.6,27.799999237060547,28.200000762939453,0.011798511,0.40000152587890625,0.3594887684108524,0.0007908889591901297,28.06504,28.08904,25.87031,21.6,0,0.0,7,707.65063,,VIN5_NF_ALT
53.0,4531,28.043383,0.35384548,22.2,27.799999237060547,28.200000762939453,0.012617788,0.40000152587890625,0.3732578034300372,0.0006621054954756124,28.09281,28.121319,25.99883,19.8,0,0.0,6,719.6858,,VIN5_NF_ALT
54.0,2303,27.999914,0.38932446,24.39,27.799999237060547,28.200000762939453,0.013904488,0.40000152587890625,0.46089018088583755,0.0,28.078955,28.121702,25.66887,,0,0.0,0,703.95355,,VIN5_NF_ALT
60.0,53,28.196226,0.027472218,28.0,28.200000762939453,28.200000762939453,0.00097432255,0.0,-0.0,0.0,28.192858,,,,0,0.0,0,894.1617,,VIN5_NF_ALT
61.0,58,28.193104,0.052522775,27.8,28.200000762939453,28.200000762939453,0.0018629653,0.0,0.08709952319177525,0.0,28.191668,,,,0,0.0,0,719.91016,,VIN5_NF_ALT
67.0,131,28.18168,0.05791465,28.0,28.0,28.200000762939453,0.002055046,0.20000076293945312,-0.0,0.0,28.186886,28.175001,,,0,0.0,0,636.99426,,VIN5_NF_ALT
68.0,1703,28.014791,0.07891587,27.0,28.0,28.200000762939453,0.002816936,0.20000076293945312,0.14732425808632849,0.0,28.018183,28.009743,24.39,,0,0.0,0,787.40845,,VIN5_NF_ALT
70.0,79,28.01519,0.053322177,28.0,28.0,28.200000762939453,0.0019033309,0.20000076293945312,-0.0,0.0,28.013115,,,,0,0.0,0,706.2448,,VIN5_NF_ALT
71.0,87,28.050573,0.08743611,28.0,28.0,28.200000762939453,0.0031170882,0.20000076293945312,-0.0,0.0,28.027273,,,,0,0.0,0,646.0815,,VIN5_NF_ALT
72.0,47,28.102129,0.10105862,28.0,28.0,28.200000762939453,0.0035961196,0.20000076293945312,-0.0,0.0,28.109678,,,,0,0.0,0,647.267,,VIN5_NF_ALT
73.0,65,28.16,0.08062288,28.0,28.0,28.200000762939453,0.0028630286,0.20000076293945312,-0.0,0.0,28.166666,,26.2,,0,0.0,0,1102.3433,,VIN5_NF_ALT
75.0,68,28.185295,0.052589018,28.0,28.0,28.200000762939453,0.0018658318,0.20000076293945312,-0.0,0.0,28.191305,,26.39,,0,0.0,0,663.5476,,VIN5_NF_ALT
76.0,238,27.996597,0.20427258,25.39,27.799999237060547,28.200000762939453,0.007296336,0.40000152587890625,0.43630088017585705,0.0,27.9812,,24.372858,,0,0.0,0,761.17505,,VIN5_NF_ALT
79.0,3009,27.853048,0.22330949,23.6,27.389999389648438,28.0,0.008017416,0.6100006103515625,1.1080745494299469,0.00033233632436025255,27.750435,27.908964,26.1,23.6,0,0.0,2,897.7098,,VIN5_NF_ALT
80.0,6334,27.92407,0.3374282,21.2,27.799999237060547,28.0,0.012083776,0.20000076293945312,0.7008780164272366,0.003315440479949479,27.93888,27.9364,25.081064,20.2,0,0.0,7,922.67444,,VIN5_NF_ALT
