day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
0,2109,28.027596,0.07753925,27.2,28.0,28.200000762939453,0.0027665324,0.20000076293945312,0.06422086997997391,0.0,28.119356,28.02352,24.866667,,0,0.0,0,758.63,661.0,VIN5_F_ALT
1,9,28.133335,0.10000038,28.0,28.0,28.200000762939453,0.0035545158,0.20000076293945312,-0.0,0.0,28.142857,,,,0,0.0,0,689.32446,660.0,VIN5_F_ALT
2,26,28.115385,0.10076668,28.0,28.0,28.200000762939453,0.0035840406,0.20000076293945312,-0.0,0.0,28.10435,,,,0,0.0,0,688.67,659.0,VIN5_F_ALT
3,56,28.125,0.097701214,28.0,28.0,28.200000762939453,0.0034738209,0.20000076293945312,-0.0,0.0,28.106668,,,,0,0.0,0,815.84467,658.0,VIN5_F_ALT
5,675,28.034668,0.07883453,27.8,28.0,28.200000762939453,0.0028120372,0.20000076293945312,0.036298959979969715,0.0,28.032001,,,,0,0.0,0,681.1224,656.0,VIN5_F_ALT
6,562,28.03057,0.09900625,27.39,28.0,28.200000762939453,0.0035320814,0.20000076293945312,0.177145488339078,0.0,28.03315,28.037256,24.721931,,0,0.0,0,759.80804,655.0,VIN5_F_ALT
7,268,28.208769,0.5626312,24.2,28.0,29.13000049591064,0.019945258,1.1300004959106396,0.5879844361836761,0.0,28.157295,,20.8,20.8,0,0.0,0,677.46814,654.0,VIN5_F_ALT
10,413,28.07213,0.1751793,25.8,28.0,28.200000762939453,0.0062403283,0.20000076293945312,0.1294839929659918,0.0,28.07747,,,,0,0.0,0,651.98505,651.0,VIN5_F_ALT
11,962,28.0158,0.0741225,27.8,28.0,28.200000762939453,0.0026457394,0.20000076293945312,0.14239179943494876,0.0,28.005062,28.00894,,,0,0.0,0,971.3454,650.0,VIN5_F_ALT
12,93,28.193548,0.035528604,28.0,28.200000762939453,28.200000762939453,0.0012601679,0.0,-0.0,0.0,28.188463,,,,0,0.0,0,1017.8455,649.0,VIN5_F_ALT
