day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
1.0,1525,28.074333,0.2480925,21.6,27.799999237060547,28.200000762939453,0.0088369865,0.40000152587890625,0.2962302766103984,0.0006557377049180328,28.047749,28.175758,24.73501,21.6,0,0.0,1,742.42847,,VIN2_NF_ALT
2.0,85,27.995295,0.061539773,27.8,27.839999389648437,28.0,0.0021982184,0.1600006103515632,0.22371807606583377,0.0,27.981133,28.0,,,0,0.0,0,729.9763,,VIN2_NF_ALT
25.0,171,28.133041,0.5099817,21.6,28.0,28.200000762939453,0.0181275,0.20000076293945312,0.16859088572473796,0.005847953216374269,28.148285,,23.983332,,0,0.0,0,975.9721,,VIN2_NF_ALT
26.0,34,28.1,0.10150423,28.0,28.0,28.200000762939453,0.00361225,0.20000076293945312,-0.0,0.0,28.026667,,,,0,0.0,0,1703.6221,,VIN2_NF_ALT
28.0,452,28.080067,0.13495949,26.39,28.0,28.200000762939453,0.004806238,0.20000076293945312,0.13820845828918643,0.0,28.064152,28.0,,,0,0.0,0,793.27814,,VIN2_NF_ALT
32.0,197,28.131979,0.09499037,28.0,28.0,28.200000762939453,0.0033765975,0.20000076293945312,-0.0,0.0,28.128,,25.317999,,0,0.0,0,734.9312,,VIN2_NF_ALT
33.0,7657,28.137049,0.098819874,26.6,28.0,28.200000762939453,0.003512091,0.20000076293945312,0.026438606373107874,0.0,28.12549,28.147072,,,0,0.0,0,656.84686,,VIN2_NF_ALT
34.0,8967,28.164774,0.081258304,26.0,28.0,28.200000762939453,0.0028851042,0.20000076293945312,0.014968276012761104,0.0,28.151112,28.168747,25.34,,0,0.0,0,673.9191,,VIN2_NF_ALT
35.0,8554,28.156296,0.084036164,27.2,28.0,28.200000762939453,0.0029846313,0.20000076293945312,0.015171668813460938,0.0,28.132027,28.156534,,,0,0.0,0,668.967,,VIN2_NF_ALT
36.0,6699,28.15595,0.08842486,26.0,28.0,28.200000762939453,0.003140539,0.20000076293945312,0.027139535318693273,0.0,28.132622,28.164923,24.991304,,0,0.0,0,663.9096,,VIN2_NF_ALT
57.0,1646,28.112024,0.105980136,27.0,28.0,28.200000762939453,0.0037699218,0.20000076293945312,0.03767248439622832,0.0,28.144615,28.11181,,,0,0.0,0,690.0208,,VIN2_NF_ALT
58.0,4024,28.081202,0.14910029,21.2,28.0,28.200000762939453,0.005309612,0.20000076293945312,0.05533976061670806,0.00024850894632206757,28.157469,28.084112,24.625181,16.8,0,0.0,1,732.8709,,VIN2_NF_ALT
59.0,67,28.131195,0.4904992,24.2,28.0,28.200000762939453,0.01743613,0.20000076293945312,0.15491392471609422,0.0,28.125,,25.957998,,0,0.0,0,623.6006,,VIN2_NF_ALT
60.0,38,28.131578,0.09615695,28.0,28.0,28.200000762939453,0.0034181143,0.20000076293945312,-0.0,0.0,28.131578,,24.39,,0,0.0,0,600.2197,,VIN2_NF_ALT
61.0,369,28.189486,0.090409815,26.8,28.0,28.200000762939453,0.0032072177,0.20000076293945312,0.12317338210151708,0.0,28.187304,,26.398,,0,0.0,0,645.7947,,VIN2_NF_ALT
62.0,329,28.168966,0.07406452,28.0,28.0,28.200000762939453,0.002629295,0.20000076293945312,0.02065208647966018,0.0,28.168652,,,,0,0.0,0,609.631,,VIN2_NF_ALT
64.0,113,28.196373,0.03715469,28.0,28.200000762939453,28.200000762939453,0.0013177117,0.0,0.050645574596848646,0.0,28.196205,,,,0,0.0,0,637.90924,,VIN2_NF_ALT
66.0,123,28.188538,0.05278617,28.0,28.0,28.200000762939453,0.0018726112,0.20000076293945312,0.047220392303659,0.0,28.188251,,25.716667,,0,0.0,0,626.8575,,VIN2_NF_ALT
68.0,222,28.1882,0.053867716,28.0,28.0,28.200000762939453,0.0019110023,0.20000076293945312,0.051396505482011766,0.0,28.190428,,25.8,,0,0.0,0,636.5358,,VIN2_NF_ALT
69.0,55,28.196365,0.026968097,28.0,28.200000762939453,28.200000762939453,0.0009564388,0.0,-0.0,0.0,28.196156,,,,0,0.0,0,636.2922,,VIN2_NF_ALT
70.0,35,28.188286,0.10727878,27.6,28.200000762939453,28.200000762939453,0.003805793,0.0,0.25864093210673234,0.0,28.188286,,,,0,0.0,0,600.3174,,VIN2_NF_ALT
72.0,1634,28.167683,0.07493364,27.8,28.0,28.200000762939453,0.00266027,0.20000076293945312,0.018540029543986515,0.0,28.142212,28.177359,,,0,0.0,0,995.3929,,VIN2_NF_ALT
83.0,287,28.19906,0.044738743,28.0,28.200000762939453,28.200000762939453,0.0015865332,0.0,0.11466528220290656,0.0,28.200535,28.2,24.177,21.2,0,0.0,1,650.646,,VIN2_NF_ALT
86.0,287,28.072475,0.6229093,21.2,28.0,28.200000762939453,0.022189327,0.20000076293945312,0.023335904346606623,0.010452961672473868,28.131819,,24.396667,21.2,0,0.0,1,635.0978,,VIN2_NF_ALT
88.0,173,28.071676,0.63827187,21.8,28.0,28.200000762939453,0.02273722,0.20000076293945312,0.21710970566185206,0.011560693641618497,28.147928,,,21.8,0,0.0,0,606.0559,,VIN2_NF_ALT
91.0,169,28.203197,0.044646256,28.0,28.200000762939453,28.200000762939453,0.001583021,0.0,0.15337895429070308,0.0,28.202084,,24.7,,0,0.0,0,600.37054,,VIN2_NF_ALT
92.0,632,28.054684,0.7248134,21.2,28.0,28.200000762939453,0.025835736,0.20000076293945312,0.07436757909106956,0.012658227848101266,28.135983,,24.486193,21.2,0,0.0,3,614.152,,VIN2_NF_ALT
93.0,1953,28.135977,0.11230379,26.2,28.0,28.200000762939453,0.003991466,0.20000076293945312,0.05504124225090454,0.0,28.15064,28.157143,25.16,,0,0.0,0,707.3925,,VIN2_NF_ALT
95.0,984,28.109756,0.09998177,27.8,28.0,28.200000762939453,0.0035568352,0.20000076293945312,0.008019428449951842,0.0,28.104841,28.114286,25.0,,0,0.0,0,637.25793,,VIN2_NF_ALT
96.0,5753,28.072573,0.1470441,21.0,28.0,28.200000762939453,0.005237999,0.20000076293945312,0.05657712396339365,0.00017382235355466714,28.103909,28.061762,24.84,20.2,0,0.0,2,906.03326,,VIN2_NF_ALT
97.0,1400,28.085714,0.10241682,27.8,28.0,28.200000762939453,0.0036465805,0.20000076293945312,0.049328767318989455,0.0,28.12734,28.08664,,,0,0.0,0,969.0874,,VIN2_NF_ALT
99.0,86,28.11163,0.099904574,28.0,28.0,28.200000762939453,0.0035538522,0.20000076293945312,-0.0,0.0,28.11163,,,,0,0.0,0,602.445,,VIN2_NF_ALT
100.0,5986,28.084322,0.10395646,27.0,28.0,28.200000762939453,0.0037015835,0.20000076293945312,0.06370540007765352,0.0,28.130625,28.071154,26.0,,0,0.0,0,934.17426,,VIN2_NF_ALT
101.0,7887,28.085686,0.13227294,22.0,28.0,28.200000762939453,0.0047096214,0.20000076293945312,0.03563484768839106,0.00012679092177000128,28.090899,28.089825,24.739384,22.0,0,0.0,1,985.75226,,VIN2_NF_ALT
102.0,5298,28.063082,0.10104134,27.8,28.0,28.200000762939453,0.0036005075,0.20000076293945312,0.0965958180548587,0.0,28.070877,28.0881,25.022472,,0,0.0,0,887.54926,,VIN2_NF_ALT
103.0,4171,28.116047,0.104819156,27.0,28.0,28.200000762939453,0.00372809,0.20000076293945312,0.06602674389709387,0.0,28.124184,28.149025,24.796442,,0,0.0,0,866.6948,,VIN2_NF_ALT
104.0,1505,28.056078,0.09560479,27.8,28.0,28.200000762939453,0.003407632,0.20000076293945312,0.07061982398847257,0.0,28.102036,28.050001,24.921648,,0,0.0,0,870.9645,,VIN2_NF_ALT
