day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
3.0,678,28.02478,0.1485718,27.6,27.799999237060547,28.200000762939453,0.005301444,0.40000152587890625,0.5874539970290942,0.0,28.035137,27.952778,25.6,,0,0.0,0,853.85065,,VIN8_NF_ALT
4.0,2330,28.04764,0.2760454,21.2,27.799999237060547,28.200000762939453,0.0098420195,0.40000152587890625,0.35863370311010884,0.0012875536480686696,28.053078,28.04711,26.568,18.6,0,0.0,0,958.6601,,VIN8_NF_ALT
5.0,1639,28.05418,0.27592567,21.6,27.799999237060547,28.200000762939453,0.0098354565,0.40000152587890625,0.3322767596532907,0.0012202562538133007,28.083689,28.038841,26.464706,21.6,0,0.0,0,934.1652,,VIN8_NF_ALT
6.0,1270,28.044409,0.3807581,20.6,27.799999237060547,28.200000762939453,0.01357697,0.40000152587890625,0.31811448300703843,0.004724409448818898,28.037931,28.057873,26.72,20.6,0,0.0,1,854.7441,,VIN8_NF_ALT
7.0,1796,27.998997,0.5754293,20.6,27.799999237060547,28.200000762939453,0.020551784,0.40000152587890625,0.4233501456663184,0.0077951002227171495,28.015951,28.0501,26.498245,16.0,0,0.0,0,931.02167,,VIN8_NF_ALT
8.0,1811,27.981445,0.32291567,22.2,27.799999237060547,28.200000762939453,0.01154035,0.40000152587890625,0.6034134903766373,0.0022087244616234127,28.016,28.00625,26.010527,18.6,0,0.0,0,907.6994,,VIN8_NF_ALT
9.0,1032,28.030815,0.33487877,22.2,27.799999237060547,28.200000762939453,0.011946809,0.40000152587890625,0.4883116516838299,0.0029069767441860465,28.027693,28.075893,26.694736,20.0,0,0.0,0,884.2589,,VIN8_NF_ALT
10.0,2279,28.038,0.24364583,21.6,27.799999237060547,28.200000762939453,0.008689843,0.40000152587890625,0.4166596549956517,0.0008775778850372971,28.036905,28.040915,26.277779,20.6,0,0.0,0,920.9692,,VIN8_NF_ALT
11.0,1798,28.00456,0.23190539,22.6,27.799999237060547,28.200000762939453,0.008280986,0.40000152587890625,0.6982614531559601,0.0005561735261401557,28.06188,27.977142,26.592,20.4,0,0.0,1,918.92145,,VIN8_NF_ALT
12.0,2190,28.009132,0.34169498,20.6,27.799999237060547,28.200000762939453,0.012199413,0.40000152587890625,0.5098469693892681,0.00228310502283105,28.055672,28.019249,26.625,19.8,0,0.0,0,911.696,,VIN8_NF_ALT
