day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
6,14,28.1,0.1037753,28.0,28.0,28.200000762939453,0.0036930712,0.20000076293945312,-0.0,0.0,28.1,,21.5,18.8,0,0.0,0,616.98285,658.0,VIN4_F_ALT
9,347,27.983286,0.49769154,19.4,27.799999237060547,28.200000762939453,0.017785314,0.40000152587890625,0.5569866075214753,0.002881844380403458,27.97255,28.096106,26.199999,19.4,0,0.0,0,837.4455,655.0,VIN4_F_ALT
24,4,28.1,0.11547049,28.0,28.0,28.200000762939453,0.00410927,0.20000076293945312,,0.0,,,,,0,0.0,0,601.96,640.0,VIN4_F_ALT
25,8,28.05,0.1414219,27.8,27.869999504089357,28.200000762939453,0.005041779,0.33000125885009624,0.37677016125643675,0.0,,,,,0,0.0,0,670.4,639.0,VIN4_F_ALT
48,75,28.085333,0.11471905,27.8,28.0,28.200000762939453,0.0040846607,0.20000076293945312,0.167944147734173,0.0,28.109093,28.092308,25.0,,0,0.0,0,829.408,616.0,VIN4_F_ALT
50,170,28.085882,0.110569626,27.8,28.0,28.200000762939453,0.00393684,0.20000076293945312,0.13269142083987176,0.0,28.085295,28.066666,24.571428,,0,0.0,0,655.0306,614.0,VIN4_F_ALT
51,71,27.966196,0.75364727,21.8,27.799999237060547,28.200000762939453,0.026948508,0.40000152587890625,0.355382896246011,0.014084507042253521,28.054287,,24.209524,21.8,0,0.0,0,598.63434,613.0,VIN4_F_ALT
52,155,28.015484,0.20069455,26.2,27.799999237060547,28.200000762939453,0.0071637006,0.40000152587890625,0.5002034694201629,0.0,28.015484,,25.0,,0,0.0,0,600.06195,612.0,VIN4_F_ALT
53,53,27.969812,0.13809875,27.8,27.799999237060547,28.200000762939453,0.004937421,0.40000152587890625,0.6274370336771098,0.0,27.963999,,25.2,,0,0.0,0,602.723,611.0,VIN4_F_ALT
55,81,28.004936,0.15484013,27.4,27.799999237060547,28.200000762939453,0.0055290298,0.40000152587890625,0.5773860113190779,0.0,28.004936,,23.925,20.2,0,0.0,0,605.83905,609.0,VIN4_F_ALT
