feature,nf_p05,nf_p50,nf_p95,nf_mean,nf_std
vsi_mean,27.801974296569824,28.032382011413574,28.24323606491089,28.033031463623047,0.21580147743225098
vsi_std,0.08040517754852772,0.12432361021637917,0.4848954901099205,0.18132929503917694,0.16779854893684387
vsi_cv,0.0028735187370330095,0.004437362076714635,0.01721817720681429,0.006481803487986326,0.006537216249853373
vsi_min,20.200000762939453,25.389999389648438,27.799999237060547,24.57427978515625,2.7266252040863037
vsi_p05,27.399999618530273,27.799999237060547,28.0,27.816859128208726,0.33958352872327746
vsi_range,0.20000076293945312,0.3899993896484375,1.3999996185302734,0.42496227796860814,0.4977890280224869
vsi_entropy,0.060967480411475664,0.41396012472323096,1.8878137818761958,0.5438633957048383,0.5069710895361341
vsi_sag_frac,0.0,0.0,0.0016494921282607985,0.0005664033422426737,0.01344969542148136
idle_vsi_mean,27.7998197555542,28.043561935424805,28.261922454833986,28.041688919067383,0.2425430566072464
cruise_vsi_mean,27.796162414550782,28.022769927978516,28.24908447265625,28.028669357299805,0.23221401870250702
resting_vsi_mean,23.58895778656006,25.04277801513672,26.389999389648438,24.98433494567871,1.0811707973480225
crank_vsi_min,16.389999389648438,21.200000762939453,24.799999237060547,20.90608024597168,2.505201816558838
ged2_cnt,0.0,0.0,0.0,0.05392874572962421,2.4270230610590513
ged2_frac,0.0,0.0,0.0,2.580867495124487e-05,0.0016730853279940594
sma_starts,0.0,0.0,3.0,0.5915080527086384,1.2142317029665888
rpm_mean,725.2306365966797,941.7811889648438,1100.9621276855469,934.3292846679688,109.93142700195312
