day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
0,233,27.728754,0.099509895,27.6,27.600000381469727,27.799999237060547,0.0035886897,0.1999988555908203,0.7016040418394606,0.0,27.754215,27.668966,,,0,0.0,0,690.63934,573.0,VIN8_F_ALT
2,26,27.784615,0.054348987,27.6,27.65000009536743,27.799999237060547,0.0019560822,0.14999914169311523,0.2711893730418441,0.0,27.784615,,,,0,0.0,0,630.3923,571.0,VIN8_F_ALT
9,24,27.833334,0.07613899,27.8,27.799999237060547,28.0,0.0027355324,0.20000076293945312,0.45056120886630463,0.0,27.834784,,,,0,0.0,0,660.34503,564.0,VIN8_F_ALT
10,8543,27.775976,0.134335,20.8,27.600000381469727,28.0,0.0048363735,0.39999961853027344,0.7331899274576152,0.00011705489874751258,27.743822,27.780853,24.330067,20.8,0,0.0,1,655.9642,563.0,VIN8_F_ALT
11,11270,27.796888,0.08483743,26.0,27.600000381469727,28.0,0.0030520477,0.39999961853027344,0.5688259049927921,0.0,27.782936,27.784706,24.8,,0,0.0,0,651.9846,562.0,VIN8_F_ALT
12,10766,27.78376,0.10050364,21.0,27.600000381469727,27.799999237060547,0.0036173519,0.1999988555908203,0.4275554208286354,9.288500835965076e-05,27.765469,27.770384,24.450914,21.0,0,0.0,1,657.5054,561.0,VIN8_F_ALT
13,3638,27.803572,0.10878602,23.39,27.600000381469727,28.0,0.0039126636,0.39999961853027344,0.5320008188234693,0.0002748763056624519,27.792053,27.800926,26.16,,0,0.0,0,648.87225,560.0,VIN8_F_ALT
14,339,27.645899,0.1233431,26.6,27.600000381469727,27.799999237060547,0.0044615334,0.1999988555908203,0.6791798068926655,0.0,27.637117,,,,0,0.0,0,738.31354,559.0,VIN8_F_ALT
16,513,27.70955,0.09963938,27.6,27.600000381469727,27.799999237060547,0.0035958497,0.1999988555908203,0.6885785112343827,0.0,27.690302,,,,0,0.0,0,800.3683,557.0,VIN8_F_ALT
17,585,27.759657,0.24968436,22.0,27.600000381469727,27.799999237060547,0.008994505,0.1999988555908203,0.46677667423824476,0.0017094017094017094,27.759579,,,22.0,0,0.0,0,750.6773,556.0,VIN8_F_ALT
18,22,27.781818,0.058848653,27.6,27.610000324249267,27.799999237060547,0.0021182434,0.18999891281128,0.30463609734923813,0.0,27.77647,,,,0,0.0,0,616.2041,555.0,VIN8_F_ALT
20,378,27.738625,0.104234606,26.8,27.600000381469727,27.799999237060547,0.0037577425,0.1999988555908203,0.6425067966363124,0.0,27.739464,,25.994999,,0,0.0,0,718.84814,553.0,VIN8_F_ALT
21,357,27.763584,0.11858939,27.6,27.600000381469727,28.0,0.0042714006,0.39999961853027344,0.8868900837883038,0.0,27.746391,,23.6,21.2,0,0.0,1,1129.3785,552.0,VIN8_F_ALT
22,234,27.719616,0.26218003,24.0,27.600000381469727,27.799999237060547,0.009458285,0.1999988555908203,0.6725890326361229,0.0,27.683199,,24.200003,,0,0.0,0,1034.9238,551.0,VIN8_F_ALT
23,78,27.784615,0.05363851,27.6,27.600000381469727,27.799999237060547,0.0019305112,0.1999988555908203,0.2711893730418441,0.0,27.77826,,,,0,0.0,0,694.19794,550.0,VIN8_F_ALT
25,53,27.72453,0.09787232,27.6,27.600000381469727,27.799999237060547,0.0035301705,0.1999988555908203,0.6627561588450714,0.0,27.682354,,24.0,,0,0.0,0,729.2517,548.0,VIN8_F_ALT
26,9601,27.74643,0.0960244,26.6,27.600000381469727,27.799999237060547,0.003460784,0.1999988555908203,0.6721410977632856,0.0,27.771849,27.745016,25.2,,0,0.0,0,757.06866,547.0,VIN8_F_ALT
27,12434,27.755909,0.092577755,27.39,27.600000381469727,27.799999237060547,0.0033354252,0.1999988555908203,0.6491663623638404,0.0,27.799221,27.757448,,,0,0.0,0,767.6618,546.0,VIN8_F_ALT
28,10429,27.759352,0.100597695,27.39,27.600000381469727,27.799999237060547,0.003623921,0.1999988555908203,0.7340005770899813,0.0,27.801449,27.765194,,,0,0.0,0,789.0118,545.0,VIN8_F_ALT
29,11659,27.77797,0.09264134,27.2,27.600000381469727,28.0,0.0033350652,0.39999961853027344,0.6642251280141548,0.0,27.820934,27.781607,24.289412,,0,0.0,0,734.5993,544.0,VIN8_F_ALT
