vin,failed,feature,z,coef,contribution,risk_linear
VIN1_F_ALT,1,vsi_std_ratio_30d,3.016108173546128,0.4425695736208663,1.3348377083607197,0.764606958062582
VIN1_F_ALT,1,vsi_dominant_freq,-0.3665291907781486,0.42647078444619546,-0.15631399151358627,0.764606958062582
VIN1_F_ALT,1,vsi_spectral_entropy,0.6168348508418011,0.24469663435810277,0.15093741195577107,0.764606958062582
VIN1_F_ALT,1,bat_charge_delta_trend_right,-2.2394143221362555,0.2239905561523778,-0.5016076594709,0.764606958062582
VIN1_F_ALT,1,vsi_range_trend_last30d,0.19868210699013322,0.22990434918910724,0.04567788050308715,0.764606958062582
VIN1_F_ALT,1,progressive_drift,-0.44317687233758757,-0.2055062299327614,0.09107560822749032,0.764606958062582
VIN2_F_ALT,1,vsi_std_ratio_30d,0.8968193106322837,0.4425695736208663,0.39690493992148906,0.6192299555004344
VIN2_F_ALT,1,vsi_dominant_freq,-0.21503801674232803,0.42647078444619546,-0.09170743168585475,0.6192299555004344
VIN2_F_ALT,1,vsi_spectral_entropy,0.3707744712898884,0.24469663435810277,0.09072726523054069,0.6192299555004344
VIN2_F_ALT,1,bat_charge_delta_trend_right,1.888925881710872,0.2239905561523778,0.42310155877503886,0.6192299555004344
VIN2_F_ALT,1,vsi_range_trend_last30d,-0.26232511763592536,0.22990434918910724,-0.06030968544604342,0.6192299555004344
VIN2_F_ALT,1,progressive_drift,-0.2944597286664395,-0.2055062299327614,0.06051330870526385,0.6192299555004344
VIN3_F_ALT,1,vsi_std_ratio_30d,-0.3713819460232311,0.4425695736208663,-0.16436234950198897,1.0558148015761575
VIN3_F_ALT,1,vsi_dominant_freq,3.291613451123772,0.42647078444619546,1.4037769705944037,1.0558148015761575
VIN3_F_ALT,1,vsi_spectral_entropy,1.1191122636409654,0.24469663435810277,0.273843004381822,1.0558148015761575
VIN3_F_ALT,1,bat_charge_delta_trend_right,-0.6099509946828742,0.2239905561523778,-0.13662326252471302,1.0558148015761575
VIN3_F_ALT,1,vsi_range_trend_last30d,-1.0100378164973605,0.22990434918910724,-0.23221208685821257,1.0558148015761575
VIN3_F_ALT,1,progressive_drift,-0.5420396526241186,-0.2055062299327614,0.11139252548484624,1.0558148015761575
VIN4_F_ALT,1,vsi_std_ratio_30d,-0.3996998909309136,0.4425695736208663,-0.1768950103056012,-0.12072349446729044
VIN4_F_ALT,1,vsi_dominant_freq,-0.37323582789679915,0.42647078444619546,-0.15917417630657313,-0.12072349446729044
